,Sandusky bayside water intake,Sandusky bayside water intake,Sandusky bayside water intake,Sandusky bayside water intake,Sandusky bayside water intake,Sandusky bayside water intake,Sandusky bayside water intake,Sandusky bayside water intake,Sandusky bayside water intake,Sandusky bayside water intake,Sandusky bayside water intake
Time (America/Detroit),Temperature,Sp Cond,pH,Turbidity,BGA-Phycocyanin RFU,BGA-PC RAW,Chlorophyll,Chlorophyll RFU,ODOSat,ODO,Battery
,C,uS/cm,,NTU,RFU,,ug/L,RFU,%,mg/L,V
11/4/15 2:00,13.05,310,8.47,13.27,1.5,1.45,8.3,2.1,94.1,9.9,13.2
11/4/15 1:45,13.1,309,8.48,13.01,1.4,1.33,8.4,2.1,95.9,10.08,13.2
11/4/15 1:30,13.1,309,8.51,14.44,1.5,1.51,9.6,2.4,98.1,10.31,13.2
11/4/15 1:15,13.12,308,8.52,14,1.4,1.39,8.2,2,98.2,10.31,13.2
11/4/15 1:00,13.15,310,8.49,13.79,1.4,1.39,7.3,1.8,96,10.07,13.3
11/4/15 0:45,13.2,310,8.47,11.89,1.4,1.36,31.6,7.8,95.6,10.02,13.2
11/4/15 0:30,13.23,310,8.47,11.93,1.2,1.2,8.2,2,95,9.95,13.2
11/4/15 0:15,13.24,309,8.51,13.04,1.3,1.32,8.5,2.1,98.3,10.3,13.2
11/4/15 0:00,13.26,310,8.52,11.98,1.6,1.58,8.7,2.2,97.7,10.22,13.3
11/3/15 23:45,13.28,309,8.53,11.76,1.4,1.36,9.5,2.4,99,10.36,13.3
11/3/15 23:30,13.3,308,8.51,12.26,1.4,1.35,7.8,1.9,98.3,10.28,13.3
11/3/15 23:15,13.33,309,8.53,13.01,1.4,1.33,8.5,2.1,98.3,10.27,13.3
11/3/15 23:00,13.34,309,8.59,16.42,1.5,1.44,9.9,2.5,102.4,10.7,13.3
11/3/15 22:45,13.36,309,8.52,10.87,1.4,1.36,9.4,2.3,99.6,10.4,13.3
11/3/15 22:30,13.39,306,8.56,11.79,1.4,1.39,8.9,2.2,101,10.54,13.3
11/3/15 22:15,13.42,308,8.56,12.33,1.4,1.38,9.3,2.3,101.2,10.55,13.3
11/3/15 22:00,13.47,308,8.49,11.41,1.2,1.19,7.4,1.9,97.6,10.17,13.3
11/3/15 21:45,13.5,308,8.5,11.31,1.3,1.3,10.6,2.6,97.3,10.13,13.3
