date,site,conc,notes
5/21/2015,CBCZ5,,
5/21/2015,ODNR_1,,
5/21/2015,Bells,,
5/21/2015,ODNR_6,,
5/21/2015,CBCZ6,,
5/21/2015,CBCZ2,,
5/21/2015,ODNR_4,,
5/21/2015,CBCZ1,,
5/21/2015,CBCZ3,,
5/21/2015,ODNR_2,,
5/21/2015,EC_1163,,
5/21/2015,CBCZ4,,
5/21/2015,Buoy_2,,
5/28/2015,CBCZ5,,
5/28/2015,ODNR_1,,
5/28/2015,Bells,,
5/28/2015,ODNR_6,,
5/28/2015,CBCZ6,,
5/28/2015,CBCZ2,,
5/28/2015,ODNR_4,,
5/28/2015,CBCZ1,,
5/28/2015,CBCZ3,,
5/28/2015,ODNR_2,2.63,
5/28/2015,EC_1163,6.95,
5/28/2015,CBCZ4,,
5/28/2015,Buoy_2,,
6/8/2015,CBCZ5,0,BelowDetect
6/8/2015,ODNR_1,11.34,
6/8/2015,Bells,,
6/8/2015,ODNR_6,15.94,
6/8/2015,CBCZ6,0,BelowDetect
6/8/2015,CBCZ2,0.54,
6/8/2015,ODNR_4,,
6/8/2015,CBCZ1,0.79,
6/8/2015,CBCZ3,0,BelowDetect
6/8/2015,ODNR_2,,
6/8/2015,EC_1163,5.36,
6/8/2015,CBCZ4,0,BelowDetect
6/8/2015,Buoy_2,,
6/15/2015,CBCZ5,,
6/15/2015,ODNR_1,9.47,
6/15/2015,Bells,,
6/15/2015,ODNR_6,10.16,
6/15/2015,CBCZ6,,
6/15/2015,CBCZ2,,
6/15/2015,ODNR_4,17.79,
6/15/2015,CBCZ1,,
6/15/2015,CBCZ3,,
6/15/2015,ODNR_2,8.15,
6/15/2015,EC_1163,4.9,
6/15/2015,CBCZ4,,
6/15/2015,Buoy_2,,
6/22/2015,CBCZ5,0,BelowDetect
6/22/2015,ODNR_1,9.76,
6/22/2015,Bells,3,
6/22/2015,ODNR_6,0,BelowDetect
6/22/2015,CBCZ6,0.32,
6/22/2015,CBCZ2,4.01,
6/22/2015,ODNR_4,0,BelowDetect
6/22/2015,CBCZ1,,
6/22/2015,CBCZ3,0.72,
6/22/2015,ODNR_2,,
6/22/2015,EC_1163,19.66,
6/22/2015,CBCZ4,0.58,
6/22/2015,Buoy_2,,
6/29/2015,CBCZ5,,
6/29/2015,ODNR_1,2.22,
6/29/2015,Bells,0,BelowDetect
6/29/2015,ODNR_6,,
6/29/2015,CBCZ6,,
6/29/2015,CBCZ2,,
6/29/2015,ODNR_4,0,BelowDetect
6/29/2015,CBCZ1,,
6/29/2015,CBCZ3,,
6/29/2015,ODNR_2,0.95,
6/29/2015,EC_1163,1.86,
6/29/2015,CBCZ4,,
6/29/2015,Buoy_2,,
7/6/2015,CBCZ5,0,BelowDetect
7/6/2015,ODNR_1,9.47,
7/6/2015,Bells,0.31,
7/6/2015,ODNR_6,1.41,
7/6/2015,CBCZ6,0,BelowDetect
7/6/2015,CBCZ2,0,BelowDetect
7/6/2015,ODNR_4,,
7/6/2015,CBCZ1,,
7/6/2015,CBCZ3,0,BelowDetect
7/6/2015,ODNR_2,3.66,
7/6/2015,EC_1163,7.3,
7/6/2015,CBCZ4,0,BelowDetect
7/6/2015,Buoy_2,,
7/13/2015,intake,0.67,ppb
7/13/2015,CBCZ5,0,BelowDetect
7/13/2015,ODNR_1,2.58,
7/13/2015,Bells,5.69,
7/13/2015,ODNR_6,0.4,
7/13/2015,CBCZ6,0,BelowDetect
7/13/2015,CBCZ2,0,BelowDetect
7/13/2015,ODNR_4,0,BelowDetect
7/13/2015,CBCZ1,,
7/13/2015,CBCZ3,0.15,
7/13/2015,ODNR_2,,
7/13/2015,EC_1163,5,
7/13/2015,CBCZ4,0,BelowDetect
7/13/2015,Buoy_2,0,BelowDetect
7/20/2015,CBCZ5,0.44,
7/20/2015,ODNR_1,6.1,
7/20/2015,Bells,3.56,
7/20/2015,ODNR_6,0.28,
7/20/2015,CBCZ6,1.1,
7/20/2015,CBCZ2,3.35,
7/20/2015,ODNR_4,0,BelowDetect
7/20/2015,CBCZ1,,
7/20/2015,CBCZ3,0.33,
7/20/2015,ODNR_2,22.39,
7/20/2015,EC_1163,29.92,
7/20/2015,CBCZ4,0.56,
7/20/2015,Buoy_2,0.91,
