DateTime,BGSDB - Water Temperature (ÎçC),BGSDB - Sp. Conductivity (ÎµS/cm)
6/1/16 18:45,25.82,511
6/1/16 19:00,25.77,507
6/1/16 19:15,25.84,504
6/1/16 19:30,25.88,501
6/1/16 19:45,25.93,501
6/1/16 20:00,25.96,499
6/1/16 20:15,26,497
6/1/16 20:30,25.97,495
6/1/16 20:45,26.02,490
6/1/16 21:00,26,493
6/1/16 21:15,26,496
6/1/16 21:30,26.03,496
6/1/16 21:45,26.01,493
6/1/16 22:00,26,486
6/1/16 22:15,25.98,490
6/1/16 22:30,25.93,487
6/1/16 22:45,25.9,491
6/1/16 23:00,25.82,490
6/2/16 0:00,25.7,490
6/2/16 0:15,25.6,486
6/2/16 0:30,25.55,483
6/2/16 0:45,25.44,479
6/2/16 1:00,25.42,477
6/2/16 1:15,25.39,476
6/2/16 1:30,25.37,479
6/2/16 1:45,25.34,480
6/2/16 2:00,25.27,479
6/2/16 2:15,25.22,480
6/2/16 2:30,25.17,477
6/2/16 2:45,25.14,478
6/2/16 3:00,25.13,481
6/2/16 3:15,25.1,483
6/2/16 3:30,25.05,483
6/2/16 3:45,25.04,482
6/2/16 4:00,25.02,480
6/2/16 4:15,25,484
6/2/16 4:30,24.98,485
6/2/16 4:45,24.97,486
6/2/16 5:00,24.95,487
6/2/16 5:15,24.96,486
6/2/16 5:30,24.93,488
6/2/16 5:45,24.93,488
6/2/16 6:00,24.9,489
6/2/16 6:15,24.87,490
6/2/16 6:30,24.83,490
6/2/16 6:45,24.8,489
6/2/16 7:00,24.79,490
6/2/16 7:15,24.77,490
6/2/16 7:30,24.73,490
6/2/16 7:45,24.72,491
6/2/16 8:00,24.68,491
6/2/16 8:15,24.63,490
6/2/16 8:30,24.62,490
6/2/16 8:45,24.57,491
6/2/16 9:00,24.52,490
6/2/16 9:15,24.52,491
6/2/16 9:30,24.44,491
6/2/16 9:45,24.43,490
6/2/16 10:00,24.39,491
6/2/16 10:15,24.32,488
6/2/16 10:30,24.37,466
6/2/16 10:45,24.36,465
6/2/16 11:00,24.39,463
6/2/16 11:15,24.36,463
6/2/16 11:30,24.34,462
6/2/16 11:45,24.34,463
6/2/16 12:00,24.34,465
6/2/16 12:15,24.31,467
6/2/16 12:30,24.35,468
6/2/16 12:45,24.38,470
6/2/16 13:00,24.41,472
6/2/16 13:15,24.42,472
6/2/16 13:30,24.48,471
6/2/16 13:45,24.49,472
6/2/16 14:00,24.58,470
6/2/16 14:15,24.63,466
6/2/16 14:30,24.66,464
6/2/16 14:45,24.66,465
6/2/16 15:00,24.72,464
6/2/16 15:15,24.77,463
6/2/16 15:30,24.84,463
6/2/16 15:45,24.94,458
6/2/16 16:00,25.01,458
6/2/16 16:15,25.09,457
6/2/16 16:30,25.11,457
6/2/16 16:45,25.22,453
6/2/16 17:00,25.27,450
6/2/16 17:15,25.49,455
6/2/16 17:30,25.43,454
6/2/16 17:45,25.44,451
6/2/16 18:00,25.65,451
6/2/16 18:15,25.99,448
6/2/16 18:30,26.13,454
6/2/16 18:45,25.97,452
6/2/16 19:00,26.27,457
6/2/16 19:15,26.23,458
6/2/16 19:30,26.29,456
6/2/16 19:45,26.31,456
6/2/16 20:00,26.4,455
6/2/16 20:15,26.51,455
6/2/16 20:30,26.66,453
6/2/16 20:45,26.59,454
6/2/16 21:00,26.58,453
6/2/16 21:15,26.55,452
6/2/16 21:30,26.56,453
6/2/16 21:45,26.58,455
6/2/16 22:00,26.6,453
6/2/16 22:15,26.58,455
6/2/16 22:30,26.55,453
6/2/16 22:45,26.56,451
6/2/16 23:00,26.55,441
6/3/16 0:00,26.38,434
6/3/16 0:15,26.31,438
6/3/16 0:30,26.29,438
6/3/16 0:45,26.2,441
6/3/16 1:00,26.17,441
6/3/16 1:15,26.07,441
6/3/16 1:30,25.05,409
6/3/16 1:45,24.43,393
6/3/16 2:00,24.57,391
6/3/16 2:15,24.63,391
6/3/16 2:30,24.68,397
6/3/16 2:45,24.76,405
6/3/16 3:00,24.76,406
6/3/16 3:15,25.46,420
6/3/16 3:30,24.94,415
6/3/16 3:45,25.04,419
6/3/16 4:00,25.3,427
6/3/16 4:15,25.25,425
6/3/16 4:30,25.2,426
6/3/16 4:45,25.04,421
6/3/16 5:00,25.05,423
6/3/16 5:15,24.9,420
6/3/16 5:30,24.81,419
6/3/16 5:45,24.74,417
6/3/16 6:00,24.66,417
6/3/16 6:15,24.63,417
6/3/16 6:30,24.58,418
6/3/16 6:45,24.6,419
6/3/16 7:00,24.52,420
6/3/16 7:15,24.49,419
6/3/16 7:30,24.49,420
6/3/16 7:45,24.55,421
6/3/16 8:00,24.43,421
6/3/16 8:15,24.37,419
6/3/16 8:30,24.33,421
6/3/16 8:45,24.23,418
6/3/16 9:00,24.14,417
6/3/16 9:15,24.08,417
6/3/16 9:30,24.04,416
6/3/16 9:45,23.89,411
6/3/16 10:00,23.87,415
6/3/16 10:15,23.76,413
6/3/16 10:30,23.71,405
6/3/16 10:45,23.72,409
6/3/16 11:00,23.77,412
6/3/16 11:15,23.78,413
6/3/16 11:30,23.74,413
6/3/16 11:45,23.67,410
6/3/16 12:00,23.63,408
6/3/16 12:15,23.55,400
6/3/16 12:30,23.53,399
6/3/16 12:45,23.53,397
6/3/16 13:00,23.51,396
6/3/16 13:15,23.53,397
6/3/16 13:30,23.52,394
6/3/16 13:45,23.54,391
6/3/16 14:00,23.58,390
6/3/16 14:15,23.59,387
6/3/16 14:30,23.89,387
6/3/16 14:45,23.73,386
6/3/16 15:00,23.67,384
6/3/16 15:15,23.77,382
6/3/16 15:30,23.97,384
6/3/16 15:45,23.76,381
6/3/16 16:00,24.15,384
6/3/16 16:15,24.04,385
6/3/16 16:30,24.13,384
6/3/16 16:45,24.24,384
6/3/16 17:00,24.43,384
6/3/16 17:15,24.9,384
6/3/16 17:30,24.64,387
6/3/16 17:45,25.19,397
6/3/16 18:00,25.41,399
6/3/16 18:15,25.43,402
6/3/16 18:30,25.49,400
6/3/16 18:45,25.52,395
6/3/16 19:00,25.53,395
6/3/16 19:15,25.6,396
6/3/16 19:30,25.63,392
6/3/16 19:45,25.69,392
6/3/16 20:00,25.83,390
6/3/16 20:15,26.03,387
6/3/16 20:30,25.99,385
6/3/16 20:45,26.02,384
6/3/16 21:00,26.13,384
6/3/16 21:15,26.07,384
6/3/16 21:30,26.05,380
6/3/16 21:45,26.03,375
6/3/16 22:00,26.01,366
6/3/16 22:15,25.96,370
6/3/16 22:30,25.97,367
6/3/16 22:45,25.95,368
6/3/16 23:00,25.96,370
6/4/16 0:00,25.81,369
6/4/16 0:15,25.75,369
6/4/16 0:30,25.71,369
6/4/16 0:45,25.64,367
6/4/16 1:00,25.58,367
6/4/16 1:15,25.52,368
6/4/16 1:30,25.46,368
6/4/16 1:45,25.39,368
6/4/16 2:00,25.32,368
6/4/16 2:15,25.3,368
6/4/16 2:30,25.32,369
6/4/16 2:45,25.29,370
6/4/16 3:00,25.25,374
6/4/16 3:15,25.23,373
6/4/16 3:30,25.21,372
6/4/16 3:45,25.15,376
6/4/16 4:00,25.14,375
6/4/16 4:15,25.15,381
6/4/16 4:30,25.08,381
6/4/16 4:45,25.06,382
6/4/16 5:00,25.04,382
