site,date,rep,chl
Bay Intake,4/22/2016,1,33.09
Bay Intake,4/22/2016,2,32.29
Bay Intake,4/22/2016,3,27.47
Clemons,4/22/2016,1,43.82
Clemons,4/22/2016,2,41.97
Clemons,4/22/2016,3,47.06
Sandusky River,4/22/2016,1,65.73
Sandusky River,4/22/2016,2,59.38
Sandusky River,4/22/2016,3,64.36
Bay Intake,5/9/2016,1,19.66
Bay Intake,5/9/2016,2,16.5
Bay Intake,5/9/2016,3,16.29
Clemons,5/9/2016,1,45.11
Clemons,5/9/2016,2,33.74
Clemons,5/9/2016,3,42.71
Sandusky River,5/9/2016,1,8.7
Sandusky River,5/9/2016,2,19.58
Sandusky River,5/9/2016,3,50.36
Clemons,4/30/2016,1,50.01
Clemons,4/30/2016,2,52.67
Clemons,4/30/2016,3,58.65
Bay Intake,5/19/2016,1,17.65
Bay Intake,5/19/2016,2,16.5
Bay Intake,5/19/2016,3,17.1
Bay Intake,5/30/2016,1,15.05
Bay Intake,5/30/2016,2,9.85
Clemons,5/19/2016,1,28.65
Clemons,5/19/2016,2,34.15
Clemons,5/19/2016,3,30.6
Clemons,5/30/2016,1,9.85
Clemons,5/30/2016,2,14.6
Clemons,5/30/2016,3,10
Intake,5/30/2016,1,16.1
Sandusky River,5/19/2016,1,3.35
Sandusky River,5/19/2016,2,2.95
Sandusky River,5/19/2016,3,1.95
Sandusky River,5/30/2016,1,94.2
Sandusky River,5/30/2016,2,55.15
Sandusky River,5/30/2016,3,59.65
ODNR_6,6/15/2016,1,7.75
ODNR_6,6/15/2016,2,13.26
ODNR_6,6/15/2016,3,14.56
ODNR_2,6/15/2016,1,6.04
ODNR_2,6/15/2016,2,5.26
ODNR_2,6/15/2016,3,2.18
ODNR_4,6/15/2016,1,20.52
ODNR_4,6/15/2016,2,34
ODNR_4,6/15/2016,3,8.61
ODNR_1,6/15/2016,1,11.46
ODNR_1,6/15/2016,2,12.38
ODNR_1,6/15/2016,3,12.57
EC_1163,6/15/2016,1,13.02
EC_1163,6/15/2016,2,9.09
EC_1163,6/15/2016,3,9.06
Bells,6/15/2016,1,12.2
Bells,6/15/2016,2,11.75
Bells,6/15/2016,3,10.36
ODNR_6,6/22/2016,1,9.47
ODNR_6,6/22/2016,2,8.56
ODNR_6,6/22/2016,3,8.57
ODNR_2,6/22/2016,1,5.73
ODNR_2,6/22/2016,2,3.18
ODNR_2,6/22/2016,3,3.61
ODNR_4,6/22/2016,1,33.64
ODNR_4,6/22/2016,2,39.18
ODNR_4,6/22/2016,3,45.44
ODNR_1,6/22/2016,1,6.33
ODNR_1,6/22/2016,2,4.46
ODNR_1,6/22/2016,3,8.1
EC_1163,6/22/2016,1,3.49
EC_1163,6/22/2016,2,4.86
EC_1163,6/22/2016,3,4.16
Bells,6/22/2016,1,7.37
Bells,6/22/2016,2,4.82
Bells,6/22/2016,3,5.22
ODNR_6,7/6/2016,1,17.28
ODNR_6,7/6/2016,2,14.15
ODNR_6,7/6/2016,3,15.32
ODNR_2,7/6/2016,1,17.03
ODNR_2,7/6/2016,2,19.92
ODNR_2,7/6/2016,3,17.35
ODNR_4,7/6/2016,1,70.76
ODNR_4,7/6/2016,2,61.33
ODNR_4,7/6/2016,3,65.29
ODNR_1,7/6/2016,1,14.48
ODNR_1,7/6/2016,2,11.85
ODNR_1,7/6/2016,3,11.38
EC_1163,7/6/2016,1,6.61
EC_1163,7/6/2016,2,11.47
EC_1163,7/6/2016,3,10.84
Bells,7/6/2016,1,4.96
Bells,7/6/2016,2,13.59
Bells,7/6/2016,3,13.88
ODNR_6,7/11/2016,1,40.89
ODNR_6,7/11/2016,2,48.45
ODNR_6,7/11/2016,3,34.08
ODNR_2,7/11/2016,1,37.02
ODNR_2,7/11/2016,2,39.03
ODNR_2,7/11/2016,3,39.6
ODNR_4,7/11/2016,1,48.88
ODNR_4,7/11/2016,2,21.63
ODNR_4,7/11/2016,3,47.37
ODNR_1,7/11/2016,1,19.57
ODNR_1,7/11/2016,2,15.97
ODNR_1,7/11/2016,3,20.24
EC_1163,7/11/2016,1,11.57
EC_1163,7/11/2016,2,22.38
EC_1163,7/11/2016,3,21.25
Bells,7/11/2016,1,5.54
Bells,7/11/2016,2,7.39
Bells,7/11/2016,3,5.76
ODNR_6,7/25/2016,1,20.6
ODNR_6,7/25/2016,2,38.44
ODNR_6,7/25/2016,3,35.26
ODNR_2,7/25/2016,1,66.78
ODNR_2,7/25/2016,2,66.06
ODNR_2,7/25/2016,3,63.68
ODNR_4,7/25/2016,1,41.46
ODNR_4,7/25/2016,2,31.62
ODNR_4,7/25/2016,3,38.77
ODNR_1,7/25/2016,1,44.1
ODNR_1,7/25/2016,2,50.43
ODNR_1,7/25/2016,3,49.07
EC_1163,7/25/2016,1,43.84
EC_1163,7/25/2016,2,43.35
EC_1163,7/25/2016,3,34.39
Bells,7/25/2016,1,4.18
Bells,7/25/2016,2,5.19
Bells,7/25/2016,3,5.03
ODNR_6,7/27/2016,1,46.37
ODNR_6,7/27/2016,2,38.95
ODNR_6,7/27/2016,3,37.51
ODNR_2,7/27/2016,1,33.52
ODNR_2,7/27/2016,2,38.95
ODNR_2,7/27/2016,3,33.04
ODNR_4,7/27/2016,1,47.17
ODNR_4,7/27/2016,2,38.34
ODNR_4,7/27/2016,3,39.99
ODNR_1,7/27/2016,1,37.98
ODNR_1,7/27/2016,2,43.12
ODNR_1,7/27/2016,3,38.36
EC_1163,7/27/2016,1,45.53
EC_1163,7/27/2016,2,41.39
EC_1163,7/27/2016,3,38.98
Bells,7/27/2016,1,6.01
Bells,7/27/2016,2,4.22
Bells,7/27/2016,3,4.47
ODNR_6,8/3/2016,1,35.78
ODNR_6,8/3/2016,2,39.45
ODNR_6,8/3/2016,3,39.21
ODNR_2,8/3/2016,1,37.51
ODNR_2,8/3/2016,2,
ODNR_2,8/3/2016,3,
ODNR_4,8/3/2016,1,45.87
ODNR_4,8/3/2016,2,54.29
ODNR_4,8/3/2016,3,44.2
ODNR_1,8/3/2016,1,21.5
ODNR_1,8/3/2016,2,21.67
ODNR_1,8/3/2016,3,20.79
EC_1163,8/3/2016,1,19.88
EC_1163,8/3/2016,2,15.34
EC_1163,8/3/2016,3,19.6
Bells,8/3/2016,1,5.96
Bells,8/3/2016,2,5.05
Bells,8/3/2016,3,6.1
ODNR_6,8/17/2016,1,83.26
ODNR_6,8/17/2016,2,59.93
ODNR_6,8/17/2016,3,71.88
ODNR_2,8/17/2016,1,54.78
ODNR_2,8/17/2016,2,62.09
ODNR_2,8/17/2016,3,44.87
ODNR_4,8/17/2016,1,116.45
ODNR_4,8/17/2016,2,113.63
ODNR_4,8/17/2016,3,109.08
ODNR_1,8/17/2016,1,28.91
ODNR_1,8/17/2016,2,54.81
ODNR_1,8/17/2016,3,33.21
EC_1163,8/17/2016,1,26.33
EC_1163,8/17/2016,2,19.12
EC_1163,8/17/2016,3,26.28
Bells,8/17/2016,1,3.77
Bells,8/17/2016,2,5.89
Bells,8/17/2016,3,8.81
ODNR_6,8/31/2016,1,63.24
ODNR_6,8/31/2016,2,48.65
ODNR_6,8/31/2016,3,46.43
ODNR_2,8/31/2016,1,32.81
ODNR_2,8/31/2016,2,27.42
ODNR_2,8/31/2016,3,32.46
ODNR_4,8/31/2016,1,45.11
ODNR_4,8/31/2016,2,44.15
ODNR_4,8/31/2016,3,57.46
ODNR_1,8/31/2016,1,21.08
ODNR_1,8/31/2016,2,19.28
ODNR_1,8/31/2016,3,21.75
EC_1163,8/31/2016,1,16.53
EC_1163,8/31/2016,2,15.94
EC_1163,8/31/2016,3,16.86
Bells,8/31/2016,1,13.46
Bells,8/31/2016,2,11.35
Bells,8/31/2016,3,11.73
