Date,Site,Nitrate_NO2,Ammonium,Nitrite,DRP,Silicate,Nitrate,TP,TKN,TN,Urea,DON,Particulate_TKN,Non_Urea_DON,TN_TP
6/15/2016,Bells,51.4,0.92,0.56,-0.02,21.92,50.85,0.6,40.23,91.62,3.5,24.1,16.12,19.68,153.98
6/15/2016,ODNR_1,19.8,0.77,0.36,-0.05,34.27,19.45,1.75,101.48,121.28,4.02,23.28,78.2,18.48,69.34
6/15/2016,ODNR_2,0.27,0.73,0.06,0.05,47.37,0.22,4.18,176.62,176.89,0,31.32,145.31,30.58,42.28
6/15/2016,ODNR_4,28.39,4.85,1.24,0.27,10.96,27.16,4.15,128.85,157.24,2.26,48.35,80.5,41.25,37.9
6/15/2016,ODNR_6,14.02,1.21,0.27,-0.02,55.08,13.75,3.24,149.83,163.85,12.95,30.65,119.17,16.5,50.59
6/22/2016,Bells,27.61,0.88,0.49,-0.04,34.26,27.12,1.41,69.57,97.17,2.92,25.42,44.15,21.63,68.92
6/22/2016,ODNR_1,0.58,0.74,0.04,-0.04,47.66,0.54,2.71,128.32,128.9,2.92,29.93,98.39,26.28,47.63
6/22/2016,ODNR_2,0.26,0.78,0.07,0.11,64.39,0.2,4.59,139.11,139.37,0,32.72,106.38,31.94,30.38
6/22/2016,ODNR_4,2.17,0.68,0.27,0.37,10.18,1.9,4.54,135.54,137.71,2.92,40.87,94.67,37.27,30.33
6/22/2016,ODNR_6,0.81,0.61,0.07,0.23,68.07,0.74,4.96,176.06,176.87,13.7,37.71,138.35,23.4,35.67
7/6/2016,Bells,40.64,0.93,0.75,0.12,2.44,39.9,0.61,39.36,80,1.46,27.9,11.47,25.5,131.15
7/6/2016,ODNR_1,0.26,0.77,0.06,0.18,83.53,0.21,4.2,132.36,132.62,2.26,33.99,98.38,30.96,31.55
7/6/2016,ODNR_2,0.6,0.82,0.07,0.16,83.71,0.53,4.14,130.94,131.54,0,33.35,97.59,32.53,31.75
7/6/2016,ODNR_4,67.82,1.09,2.4,0.01,26.16,65.44,4.5,167.72,235.54,2.26,37.46,130.26,34.11,52.33
7/6/2016,ODNR_6,0.45,0.8,0.17,0.33,65.81,0.28,4.4,143.18,143.62,12.95,37.65,105.52,23.9,32.64
7/11/2016,Bells,30.87,0.53,0.69,0,5.25,30.18,0.74,40.49,71.36,2.26,22.38,18.11,19.59,96.17
7/11/2016,ODNR_1,0.28,0.87,0.04,0,32.96,0.25,2.88,80.12,80.4,9.01,28.83,51.29,18.94,27.88
7/11/2016,ODNR_2,0.16,0.07,0.05,0.36,86.68,0.12,4.88,118.44,118.6,0,32.63,85.81,32.56,24.32
7/11/2016,ODNR_4,0.19,0.41,0.07,0.03,39.52,0.12,5.32,161.94,162.13,2.26,35.65,126.29,32.98,30.46
7/11/2016,ODNR_6,0.76,0.93,0.05,0.04,68.39,0.71,4.78,154.39,155.16,13.2,43.92,110.47,29.8,32.49
7/25/2016,Bells,28.99,0.83,0.51,-0.01,10.52,28.48,0.41,27.81,56.8,2.26,19.99,7.82,16.91,138.2
7/25/2016,ODNR_1,1.28,0.21,0.03,0.15,39.37,1.25,3.47,75.68,76.96,9.93,32.27,43.41,22.13,22.19
7/25/2016,ODNR_2,3.16,0.59,0.05,0.09,30.41,3.11,3.63,85.04,88.2,0,30.24,54.81,29.65,24.31
7/25/2016,ODNR_4,2.24,0.47,0.06,1.96,54.73,2.18,8.18,142.1,144.34,2.26,42.74,99.36,40.01,17.65
7/25/2016,ODNR_6,2.41,0.18,0.05,1.53,95.91,2.36,7.05,164.06,166.47,12.95,46.8,117.27,33.67,23.61
7/27/2016,Bells,24.9,0.37,0.68,-0.05,11.28,24.22,0.39,25.87,50.77,2.26,18.62,7.26,15.98,128.85
7/27/2016,ODNR_1,0.16,0.36,0.02,0.07,33.6,0.13,2.63,70.19,70.35,9.32,25.09,45.1,15.4,26.77
7/27/2016,ODNR_2,0.49,0.32,0.03,0,33.55,0.46,2.88,81.05,81.54,0,26.99,54.06,26.68,28.3
7/27/2016,ODNR_4,0.23,0.26,0.04,2.2,77.23,0.19,8.23,173.82,174.05,1.46,42.13,131.69,40.41,21.16
7/27/2016,ODNR_6,1.15,0.78,0.05,0.87,100.95,1.1,6.59,188.34,189.49,2.92,50.1,138.24,46.4,28.77
8/3/2016,Bells,12.86,0.92,0.5,-0.02,15.52,12.89,0.49,21.63,34.49,2.26,19.74,1.89,16.56,70.97
8/3/2016,ODNR_1,0.03,-0.25,0.04,-0.02,28.53,0.03,2.03,49.57,49.59,9.32,20.34,29.22,11.27,24.39
8/3/2016,ODNR_2,0.12,0.13,0.06,0.35,41.45,0.12,3.15,78.75,78.87,0,27.97,50.78,27.84,25.02
8/3/2016,ODNR_4,0.23,0.37,0.09,0.21,88.44,0.23,7.28,190.12,190.34,1.46,41.07,149.05,39.24,26.16
8/3/2016,ODNR_6,0.07,0.42,0.08,0.06,95.63,0.07,5.62,132.75,132.81,3.5,44.66,88.09,40.75,23.65
8/17/2016,Bells,9.88,-0.1,0.51,-0.04,14.51,9.9,0.52,16.75,26.63,1.46,16.12,0.63,14.76,51.01
8/17/2016,ODNR_1,0.2,0.09,0.07,0.09,53.87,0.2,4.27,111.33,111.52,9.01,31.07,80.25,21.97,26.14
8/17/2016,ODNR_2,0.16,0.42,0.09,0.14,65.17,0.16,1.89,119.58,119.74,0,28.4,91.19,27.98,63.39
8/17/2016,ODNR_4,0.8,0.09,0.28,0.57,56.55,0.8,5.91,142.1,142.89,2.92,38.79,103.31,35.78,24.19
8/17/2016,ODNR_6,0.45,-0.32,0.07,0.6,63.18,0.45,5.64,153.39,153.84,3.5,45.77,107.62,42.6,27.28
8/31/2016,Bells,0.19,-0.18,0.03,-0.04,10.42,0.19,0.64,24.82,25.01,1.46,13.09,11.73,11.81,39.37
8/31/2016,ODNR_1,0.2,0.18,0.07,0.26,59.28,0.2,3.25,90.12,90.32,9.32,23.46,66.66,13.96,27.76
8/31/2016,ODNR_2,0.61,0.36,0.07,0.21,57.88,0.61,11.45,98.19,98.79,0,17.01,81.18,16.65,8.63
8/31/2016,ODNR_4,0.06,0.54,0.11,1.91,70.21,0.06,6.5,147.21,147.27,2.26,36.57,110.64,33.77,22.65
8/31/2016,ODNR_6,0.41,-0.04,0.07,0.64,48.26,0.41,8.13,122.8,123.21,2.92,44.85,77.95,41.97,15.16
