date,site,conc,type,notes
6/15/2016,ODNR_1,11.14,Total/Dissolved,This year wasn't recorded if total or dissolved
6/22/2016,ODNR_1,17.18,Total/Dissolved,
7/6/2016,EC_1163,8.25,Total/Dissolved,
7/11/2016,EC_1163,6.15,Total/Dissolved,
7/11/2016,ODNR_1,8.23,Total/Dissolved,
7/11/2016,ODNR_2,13.89,Total/Dissolved,
7/11/2016,ODNR_4,5.23,Total/Dissolved,
7/11/2016,ODNR_6,8.69,Total/Dissolved,
7/25/2016,ODNR_4,4.66,Total/Dissolved,
7/25/2016,ODNR_6,10.64,Total/Dissolved,
7/27/2016,ODNR_4,6.26,Total/Dissolved,
7/27/2016,ODNR_6,14.1,Total/Dissolved,
8/17/2016,EC_1163,2.51,Total/Dissolved,
8/17/2016,ODNR_1,5.82,Total/Dissolved,
8/17/2016,ODNR_2,6.66,Total/Dissolved,
8/17/2016,ODNR_4,4.02,Total/Dissolved,
8/17/2016,ODNR_6,7.99,Total/Dissolved,
8/17/2016,Bells,0.69,Total/Dissolved,
8/31/2016,EC_1163,5.12,Total/Dissolved,
8/31/2016,ODNR_1,7.12,Total/Dissolved,
8/31/2016,ODNR_2,8.48,Total/Dissolved,
8/31/2016,ODNR_4,8.09,Total/Dissolved,
8/31/2016,ODNR_6,8.11,Total/Dissolved,
8/31/2016,Bells,1.2,Total/Dissolved,
