"site","date","rep","Depth","LightValue","Light_0","doy"
"ODNR_4",2017-06-08,"avg",0,38.645,38.645,159
"ODNR_4",2017-06-08,"avg",0.5,1.78,38.645,159
"ODNR_4",2017-06-08,"avg",1,0.195,38.645,159
"ODNR_4",2017-06-08,"avg",1.5,0.02,38.645,159
"ODNR_6",2017-06-08,"avg",0,81.955,81.955,159
"ODNR_6",2017-06-08,"avg",0.5,7.14,81.955,159
"ODNR_6",2017-06-08,"avg",1,0.755,81.955,159
"ODNR_6",2017-06-08,"avg",1.5,0.1,81.955,159
"ODNR_6",2017-06-08,"avg",2,0.01,81.955,159
"ODNR_2",2017-06-08,"avg",0,64.015,64.015,159
"ODNR_2",2017-06-08,"avg",0.5,8.72,64.015,159
"ODNR_2",2017-06-08,"avg",1,0.78,64.015,159
"ODNR_2",2017-06-08,"avg",1.5,0.08,64.015,159
"ODNR_2",2017-06-08,"avg",2,0.01,64.015,159
"ODNR_1",2017-06-08,"avg",0,251.85,251.85,159
"ODNR_1",2017-06-08,"avg",0.5,35.26,251.85,159
"ODNR_1",2017-06-08,"avg",1,5.25,251.85,159
"ODNR_1",2017-06-08,"avg",1.5,0.695,251.85,159
"ODNR_1",2017-06-08,"avg",2,0.115,251.85,159
"EC_1163",2017-06-08,"avg",0,358.35,358.35,159
"EC_1163",2017-06-08,"avg",0.5,45.56,358.35,159
"EC_1163",2017-06-08,"avg",1,11.875,358.35,159
"EC_1163",2017-06-08,"avg",1.5,2.565,358.35,159
"EC_1163",2017-06-08,"avg",2,0.585,358.35,159
"EC_1163",2017-06-08,"avg",2.5,0.15,358.35,159
"EC_1163",2017-06-08,"avg",3,0.03,358.35,159
"ODNR_4",2017-06-19,"avg",0,347.45,347.45,170
"ODNR_4",2017-06-19,"avg",0.5,6.225,347.45,170
"ODNR_4",2017-06-19,"avg",1,0.225,347.45,170
"ODNR_4",2017-06-19,"avg",1.5,0.01,347.45,170
"ODNR_6",2017-06-19,"avg",0,340.75,340.75,170
"ODNR_6",2017-06-19,"avg",0.5,6.805,340.75,170
"ODNR_6",2017-06-19,"avg",1,0.195,340.75,170
"ODNR_2",2017-06-19,"avg",0,185.955,185.955,170
"ODNR_2",2017-06-19,"avg",0.5,25.83,185.955,170
"ODNR_2",2017-06-19,"avg",1,1.89,185.955,170
"ODNR_2",2017-06-19,"avg",1.5,0.29,185.955,170
"ODNR_2",2017-06-19,"avg",2,0.025,185.955,170
"ODNR_1",2017-06-19,"avg",0,455.55,455.55,170
"ODNR_1",2017-06-19,"avg",0.5,22.07,455.55,170
"ODNR_1",2017-06-19,"avg",1,0.665,455.55,170
"ODNR_1",2017-06-19,"avg",1.5,0.045,455.55,170
"EC_1163",2017-06-19,"avg",0,335.2,335.2,170
"EC_1163",2017-06-19,"avg",0.5,46.72,335.2,170
"EC_1163",2017-06-19,"avg",1,5.36,335.2,170
"EC_1163",2017-06-19,"avg",1.5,0.85,335.2,170
"EC_1163",2017-06-19,"avg",2,0.13,335.2,170
"EC_1163",2017-06-19,"avg",2.5,0.015,335.2,170
"Buoy_2",2017-06-19,"avg",0,310.6,310.6,170
"Buoy_2",2017-06-19,"avg",0.5,56.85,310.6,170
"Buoy_2",2017-06-19,"avg",1,3.31,310.6,170
"Buoy_2",2017-06-19,"avg",1.5,0.78,310.6,170
"Buoy_2",2017-06-19,"avg",2,0.21,310.6,170
"Bridge",2017-06-19,"avg",0,14.54,14.54,170
"Bridge",2017-06-19,"avg",0.5,0.575,14.54,170
"Bridge",2017-06-19,"avg",1,0.035,14.54,170
"Bells",2017-06-19,"avg",0,377.05,377.05,170
"Bells",2017-06-19,"avg",0.5,136.815,377.05,170
"Bells",2017-06-19,"avg",1,45.92,377.05,170
"Bells",2017-06-19,"avg",1.5,7.85,377.05,170
"Bells",2017-06-19,"avg",2,2.95,377.05,170
"Bells",2017-06-19,"avg",2.5,1.035,377.05,170
"Bells",2017-06-19,"avg",3,0.36,377.05,170
"Bells",2017-06-19,"avg",3.5,0.08,377.05,170
"ODNR_4",2017-06-26,"avg",0,256.7,256.7,177
"ODNR_4",2017-06-26,"avg",0.5,0.55,256.7,177
"ODNR_6",2017-06-26,"avg",0,153.67,153.67,177
"ODNR_6",2017-06-26,"avg",0.5,5,153.67,177
