Site,Date,Ammonium,Chloride,Sulfate,Nitrite,Nitrate,Silicate,DRP,TP
Bayside_intake,4/11/2017,2.78,846.19,1350.00,0.00,127.80,3.57,0.23,2.13
Bayside_intake,5/23/2017,2.50,868.76,1828.13,0.00,71.39,7.50,0.23,2.26
Buoy_2,5/30/2017,2.50,702.34,1859.38,0.00,103.52,44.29,0.16,2.71
Buoy_2,6/5/2017,2.64,496.43,1096.88,0.00,72.82,42.50,0.16,2.58
Bells,6/5/2017,2.57,445.66,631.25,0.00,62.11,41.79,0.13,0.45
Bridge,6/5/2017,2.57,363.86,1031.25,0.00,120.66,35.36,0.16,3.13
EC_1163,6/5/2017,2.71,606.44,1365.63,0.00,102.81,51.07,0.13,2.23
ODNR_1,6/5/2017,3.86,564.13,1250.00,0.00,89.24,37.14,0.10,2.78
ODNR_2,6/5/2017,2.43,476.69,1412.50,0.00,101.38,53.21,0.13,3.13
ODNR_4,6/5/2017,2.57,623.36,1612.50,0.00,242.74,21.43,0.29,3.55
ODNR_6,6/5/2017,2.64,643.10,1840.63,0.00,251.31,31.43,0.29,3.20
Buoy_2,6/19/2017,2.43,541.56,1150.00,0.00,42.12,88.93,0.19,3.39
Bells,6/19/2017,2.43,335.66,596.88,0.00,32.13,50.71,0.16,1.78
Bridge,6/19/2017,2.43,566.95,1671.88,0.00,35.70,90.36,0.23,5.17
EC_1163,6/19/2017,2.50,482.33,1112.50,0.00,37.84,98.57,0.19,3.23
ODNR_1,6/19/2017,2.28,662.85,1853.13,0.00,39.98,103.21,0.26,4.68
ODNR_2,6/19/2017,2.43,344.12,1090.63,0.00,14.99,88.93,0.26,3.55
ODNR_4,6/19/2017,2.50,513.36,1884.38,0.00,62.11,63.21,0.26,6.01
ODNR_6,6/19/2017,2.57,640.28,1853.13,0.00,241.31,34.64,0.23,6.20
Buoy_2,6/21/2017,2.07,640.28,1693.75,0.00,29.27,112.50,0.29,4.52
intake_buoy,6/21/2017,5.43,465.40,637.50,0.00,57.12,59.29,0.32,1.13
EC_1163,6/21/2017,2.28,479.51,965.63,0.00,38.55,77.50,0.26,2.32
Buoy_2,6/26/2017,2.71,583.87,1315.63,0.00,18.56,107.86,0.32,3.87
Bells,6/26/2017,2.93,445.66,703.13,0.00,41.41,43.21,0.19,1.42
Bridge,6/26/2017,2.50,612.08,1653.13,0.00,62.83,46.07,0.26,5.65
EC_1163,6/26/2017,2.71,490.79,918.75,0.00,31.41,82.86,0.29,2.81
ODNR_1,6/26/2017,2.57,597.97,1409.38,0.00,12.14,111.43,0.23,5.55
ODNR_2,6/26/2017,2.57,606.44,1562.50,0.00,35.70,86.07,0.16,4.94
ODNR_4,6/26/2017,2.57,733.37,2787.50,0.00,33.56,145.36,0.26,10.01
ODNR_6,6/26/2017,2.71,688.24,2346.88,0.00,96.38,66.79,0.29,6.68
Bayside_intake,7/5/2017,8.35,967.48,1968.75,2.14,67.11,153.93,0.36,2.74
Bayside_intake,7/5/2017,5.85,959.02,1900.00,0.00,80.68,141.07,0.23,2.39
Buoy_2,7/17/2017,9.57,592.33,1853.13,5.71,209.19,65.36,0.77,5.62
