site,date_time,discharge,notes
4198000,1/1/2017 0:00,575,cubic feet per second
4198000,1/1/2017 0:30,575,cubic feet per second
4198000,1/1/2017 1:00,565,cubic feet per second
4198000,1/1/2017 1:30,565,cubic feet per second
4198000,1/1/2017 2:00,565,cubic feet per second
4198000,1/1/2017 2:30,556,cubic feet per second
4198000,1/1/2017 3:00,556,cubic feet per second
4198000,1/1/2017 3:30,556,cubic feet per second
4198000,1/1/2017 4:00,556,cubic feet per second
4198000,1/1/2017 4:30,546,cubic feet per second
4198000,1/1/2017 5:00,546,cubic feet per second
4198000,1/1/2017 5:30,546,cubic feet per second
4198000,1/1/2017 6:00,546,cubic feet per second
4198000,1/1/2017 6:30,537,cubic feet per second
4198000,1/1/2017 7:00,537,cubic feet per second
4198000,1/1/2017 7:30,528,cubic feet per second
4198000,1/1/2017 8:00,528,cubic feet per second
4198000,1/1/2017 8:30,528,cubic feet per second
4198000,1/1/2017 9:00,518,cubic feet per second
4198000,1/1/2017 9:30,518,cubic feet per second
4198000,1/1/2017 10:00,509,cubic feet per second
4198000,1/1/2017 10:30,509,cubic feet per second
4198000,1/1/2017 11:00,500,cubic feet per second
4198000,1/1/2017 11:30,500,cubic feet per second
4198000,1/1/2017 12:00,500,cubic feet per second
4198000,1/1/2017 12:30,500,cubic feet per second
4198000,1/1/2017 13:00,500,cubic feet per second
4198000,1/1/2017 13:30,500,cubic feet per second
4198000,1/1/2017 14:00,500,cubic feet per second
4198000,1/1/2017 14:30,491,cubic feet per second
4198000,1/1/2017 15:00,483,cubic feet per second
4198000,1/1/2017 15:30,483,cubic feet per second
4198000,1/1/2017 16:00,474,cubic feet per second
4198000,1/1/2017 16:30,474,cubic feet per second
4198000,1/1/2017 17:00,474,cubic feet per second
4198000,1/1/2017 17:30,466,cubic feet per second
4198000,1/1/2017 18:00,466,cubic feet per second
4198000,1/1/2017 18:30,466,cubic feet per second
4198000,1/1/2017 19:00,466,cubic feet per second
4198000,1/1/2017 19:30,457,cubic feet per second
4198000,1/1/2017 20:00,457,cubic feet per second
4198000,1/1/2017 20:30,457,cubic feet per second
4198000,1/1/2017 21:00,457,cubic feet per second
4198000,1/1/2017 21:30,457,cubic feet per second
4198000,1/1/2017 22:00,449,cubic feet per second
4198000,1/1/2017 22:30,449,cubic feet per second
4198000,1/1/2017 23:00,440,cubic feet per second
4198000,1/1/2017 23:30,440,cubic feet per second
4198000,1/2/2017 0:00,440,cubic feet per second
4198000,1/2/2017 0:30,440,cubic feet per second
4198000,1/2/2017 1:00,432,cubic feet per second
4198000,1/2/2017 1:30,432,cubic feet per second
4198000,1/2/2017 2:00,424,cubic feet per second
4198000,1/2/2017 2:30,424,cubic feet per second
4198000,1/2/2017 3:00,424,cubic feet per second
4198000,1/2/2017 3:30,424,cubic feet per second
4198000,1/2/2017 4:00,424,cubic feet per second
4198000,1/2/2017 4:30,416,cubic feet per second
4198000,1/2/2017 5:00,416,cubic feet per second
4198000,1/2/2017 5:30,416,cubic feet per second
4198000,1/2/2017 6:00,416,cubic feet per second
4198000,1/2/2017 6:30,409,cubic feet per second
4198000,1/2/2017 7:00,409,cubic feet per second
4198000,1/2/2017 7:30,409,cubic feet per second
4198000,1/2/2017 8:00,409,cubic feet per second
4198000,1/2/2017 8:30,409,cubic feet per second
4198000,1/2/2017 9:00,401,cubic feet per second
4198000,1/2/2017 9:30,401,cubic feet per second
4198000,1/2/2017 10:00,401,cubic feet per second
4198000,1/2/2017 10:30,401,cubic feet per second
4198000,1/2/2017 11:00,393,cubic feet per second
4198000,1/2/2017 11:30,393,cubic feet per second
4198000,1/2/2017 12:00,393,cubic feet per second
4198000,1/2/2017 12:30,386,cubic feet per second
4198000,1/2/2017 13:00,386,cubic feet per second
4198000,1/2/2017 13:30,386,cubic feet per second
4198000,1/2/2017 14:00,378,cubic feet per second
4198000,1/2/2017 14:30,378,cubic feet per second
4198000,1/2/2017 15:00,378,cubic feet per second
4198000,1/2/2017 15:30,371,cubic feet per second
4198000,1/2/2017 16:00,371,cubic feet per second
4198000,1/2/2017 16:30,371,cubic feet per second
4198000,1/2/2017 17:00,371,cubic feet per second
4198000,1/2/2017 17:30,364,cubic feet per second
4198000,1/2/2017 18:00,364,cubic feet per second
4198000,1/2/2017 18:30,364,cubic feet per second
4198000,1/2/2017 19:00,364,cubic feet per second
4198000,1/2/2017 19:30,364,cubic feet per second
4198000,1/2/2017 20:00,356,cubic feet per second
4198000,1/2/2017 20:30,356,cubic feet per second
