Site,Date,mc_elisa_final,notes
Buoy_2,5/30/2017,8.25172638173,
Intake,5/23/2017,13.64549733475,
ODNR_4,6/5/2017,11.72153640793,
ODNR_6,6/5/2017,9.92415499946,
Bridge,6/5/2017,13.35242378705,
ODNR_2,6/5/2017,15.10054381064,
Buoy_2,6/5/2017,17.45236666534,
ODNR_1,6/5/2017,13.49816517896,
EC_1163,6/5/2017,12.73884466502,
Bells,6/5/2017,1.07199872808,
ODNR_4,6/19/2017,9.85259092792,
ODNR_6,6/19/2017,24.79100030817,
Bridge,6/19/2017,19.17407670423,
ODNR_2,6/19/2017,9.88830822310,
Buoy_2,6/19/2017,20.24359375088,
ODNR_1,6/19/2017,16.95438264282,
EC_1163,6/19/2017,21.29556772997,
Bells,6/19/2017,13.35242378705,
Clemons,6/21/2017,25.51916141647,
Buoy_2,6/21/2017,13.89463320343,
EC_1163,6/21/2017,16.00063742106,
ODNR_4,6/26/2017,18.03010352899,
ODNR_6,6/26/2017,25.79770246375,
Bridge,6/26/2017,23.31190748001,
ODNR_2,6/26/2017,23.73753009957,
Buoy_2,6/26/2017,12.42021853206,
Bells,6/26/2017,5.00808639357,
EC_1163,6/26/2017,17.45236666534,
ODNR_1,6/26/2017,20.61319591274,
Intake,6/21/2017,0.05318793672,
ODNR_4,8/14/2017,8.45989012641,diluted
ODNR_6,8/14/2017,11.64431978296,diluted
Bridge,8/14/2017,8.28911906483,diluted
ODNR_1,8/14/2017,7.37198419668,diluted
Buoy_2,8/14/2017,8.16330680950,diluted
ODNR_2,8/14/2017,7.14989853001,diluted
EC_1163,8/14/2017,3.87801545754,diluted
ODNR_4,8/28/2017,5.92077679985,diluted
ODNR_6,8/28/2017,4.42767542211,diluted
Bridge,8/28/2017,8.60488379847,diluted
ODNR_1,8/28/2017,2.61448931084,diluted
Buoy_2,8/28/2017,5.30159834534,diluted
ODNR_2,8/28/2017,7.10146193505,diluted
EC_1163,8/28/2017,0.96912119667,diluted
Bridge,9/17/2017,6.61226966475,diluted
Shelby_st,9/18/2017,5.15939005688,diluted
Intake A,10/30/2017,4.87994431386,
Intake B,10/30/2017,4.24518391856,
Intake C,10/30/2017,4.15242824911,
