Site,Date,time_on,Air_Temperature,Weather,Wave_Height,Site_Depth,Secchi,time_off,Water_Temperature,Dissolved_Oxygen,SPC,Conductivity,pH,pH_mV,Turbidity,pc_rfu,Phycocyanin,chl_rfu,Chlorophyll_Sonde
Muddy Creek,5/30/2023,9:51,24.44,0,0,0,20,10:20,21.358,11.33,592.7,551.5,8.56,-120.8,39.71,2.82,2.94,16.5,65.97
ODNR_4,5/30/2023,10:26,24.44,0,0,0,30,10:44,20.794,12.23,497.6,457.6,8.75,-131.7,25.14,2.01,2.09,9.42,37.61
ODNR_6,5/30/2023,10:52,26.67,0,0,0,40,11:06,20.298,12.13,503.5,458.2,8.76,-131.9,33.16,2.57,2.68,11.95,47.74
Bridge,5/30/2023,11:15,27.67,0,0,0,,11:27,21.083,10.71,469.8,434.6,8.78,-133.6,14.42,1.29,1.34,6.27,25.02
ODNR_2,5/30/2023,11:43,26.67,0,0,0,47.5,12:05,20.491,12.94,409.5,374.3,8.92,-140.9,8.62,0.81,0.83,3.03,12.05
Buoy_2,5/30/2023,12:08,28.33,0,0,0,70,12:22,20.693,12.22,425.1,390.2,8.87,-138.3,8.49,0.99,1.02,3.03,12.06
ODNR_1,5/30/2023,12:25,26.67,0,0,0,55,12:43,20.959,12.1,435.3,401.7,8.95,-143,9.07,1.24,1.29,5.17,20.62
EC_1163,5/30/2023,13:00,27.22,0,0.5,0,80,13:12,20.899,12.98,349.8,322.4,9.05,-148.5,4.45,0.49,0.5,2.8,11.15
Causeway,5/30/2023,13:20,27.22,0,0.5,0,72.5,13:30,20.797,11.05,343.3,315.8,8.81,-135.1,4.41,0.46,0.46,3.16,12.57
Bells,5/30/2023,13:40,27.22,0,1,0,90,14:03,19.709,11.3,291.5,262.1,8.76,-131.8,4.09,0.23,0.23,1.41,5.58
Muddy Creek,6/6/2023,9:22,21.11,4,0,1.1,15,9:43,21.445,9.19,561.6,523.5,8.46,-115.3,67.68,4.87,5.09,11.06,44.21
ODNR_4,6/6/2023,9:51,21.11,4,0,1.5,20,10:10,21.058,8.72,495.1,457.9,8.47,-115.7,46.93,5.22,5.46,9.22,36.83
ODNR_6,6/6/2023,10:17,21.11,4,0,2.1,30,10:35,21.199,9.13,482,447.1,8.55,-120.3,26.16,3.36,3.5,6.93,27.66
Bridge,6/6/2023,10:43,21.11,4,0,3.9,,10:54,21.586,8.9,479.4,448.1,8.51,-118.2,23.45,4.47,4.67,7.46,29.77
ODNR_2,6/6/2023,11:15,20.56,4,0,2.4,27.5,11:31,21.516,10,446.1,416.4,8.74,-131,21.81,3.93,4.11,6.01,23.98
Buoy_2,6/6/2023,11:36,20.56,4,0,2.7,30,11:54,21.168,9.89,407.2,377.4,8.73,-130.8,19.05,3.22,3.36,5.62,22.4
ODNR_1,6/6/2023,11:57,20.56,4,0,2.9,30,12:13,21.396,10.14,398.6,371.2,8.8,-134.5,18.32,3.08,3.21,5.52,22
EC_1163,6/6/2023,12:17,20.56,4,0,3.4,40,12:32,20.647,8.96,347.4,318.5,8.58,-121.9,16.56,1.62,1.68,3.49,13.88
Causeway,6/6/2023,13:12,20.56,4,0.5,1.3,50,13:26,21.125,8.29,364.9,337.9,8.4,-111.7,7.86,0.92,0.95,3.1,12.32
Bells,6/6/2023,12:44,20.56,4,0.5,9.2,72.5,13:00,20.906,8.01,292.4,269.5,8.24,-102.3,10.46,0.16,0.16,0.44,1.71
Muddy Creek,6/13/2023,10:14,13.89,"3,4",1.5,0.67,10,10:32,17.867,7.02,578.1,499.3,8.04,-90.5,331.48,3.31,3.46,6.47,25.82
ODNR_4,6/13/2023,10:37,13.89,"3,4",0.5,1.1,17.5,10:48,17.911,7.62,485,419.3,8.26,-103,42.73,4.41,4.61,2.95,11.74
ODNR_6,6/13/2023,10:55,16.11,4,1,1.98,22.5,11:08,18.208,8.28,489.3,425.9,8.44,-113.2,33.6,3.01,3.14,2.43,9.65
Bridge,6/13/2023,11:57,13.89,4,1.5,3.72,,11:30,18.63,7.55,478.6,420.3,8.11,-94.6,34.55,4.41,4.61,3.3,13.14
ODNR_2,6/13/2023,11:45,15.56,4,2,2.1,22.5,11:58,18.694,7.62,467,410.7,8.15,-97,44.24,4.31,4.51,2.46,9.78
Buoy_2,6/13/2023,12:03,15.56,4,2.5,2.35,30,12:16,18.554,8.25,405.8,355.9,8.35,-108.4,31.73,2.81,2.93,2.13,8.44
ODNR_1,6/13/2023,12:19,15.56,4,2.5,2.77,30,12:33,18.578,8.29,413,362.3,8.35,-108.4,31.58,2.77,2.89,1.94,7.71
