Date/Time	Green Algae	Bluegreen	Diatoms	Cryptophyta	Yellow substances	Total conc.	Transmission	Depth	Temp. Sample	Comment
date	µg/l	µg/l	µg/l	µg/l	r.u.	µg/l	%	m	°C	
6/20/2023 4:10:49 PM	0.00	0.11	0.07	0.00	0.12	0.18	100.00	-0.06	--	pre_di_cuv1
6/20/2023 4:10:50 PM	0.00	0.05	0.00	0.08	0.15	0.13	100.00	-0.04	--	pre_di_cuv1
6/20/2023 4:10:50 PM	0.00	0.11	0.00	0.00	0.17	0.11	100.00	-0.06	--	pre_di_cuv1
6/20/2023 4:10:51 PM	0.00	0.05	0.00	0.05	0.17	0.10	100.00	-0.06	--	pre_di_cuv1
6/20/2023 4:10:52 PM	0.00	0.19	0.00	0.00	0.19	0.19	100.00	-0.07	--	pre_di_cuv1
6/20/2023 4:10:53 PM	0.00	0.08	0.00	0.00	0.14	0.08	100.00	-0.05	--	pre_di_cuv1
6/20/2023 4:10:53 PM	0.00	0.12	0.00	0.00	0.15	0.12	100.00	-0.06	--	pre_di_cuv1
6/20/2023 4:10:54 PM	0.00	0.00	0.00	0.06	0.15	0.06	100.00	-0.06	--	pre_di_cuv1
6/20/2023 4:10:55 PM	0.12	0.14	0.00	0.00	0.10	0.25	100.00	-0.06	--	pre_di_cuv1
6/20/2023 4:10:55 PM	0.00	0.10	0.04	0.00	0.17	0.13	100.00	-0.06	--	pre_di_cuv1
6/20/2023 4:10:56 PM	0.00	0.15	0.00	0.00	0.15	0.15	100.00	-0.06	--	pre_di_cuv1
6/20/2023 4:10:57 PM	0.00	0.10	0.00	0.00	0.14	0.10	100.00	-0.06	--	pre_di_cuv1
6/20/2023 4:10:58 PM	0.00	0.13	0.00	0.00	0.17	0.13	100.00	-0.07	--	pre_di_cuv1
6/20/2023 4:10:58 PM	0.00	0.15	0.00	0.00	0.17	0.15	100.00	-0.05	--	pre_di_cuv1
6/20/2023 4:10:59 PM	0.00	0.18	0.00	0.00	0.17	0.18	100.00	-0.05	--	pre_di_cuv1
6/20/2023 4:11:00 PM	0.00	0.23	0.00	0.00	0.15	0.23	100.00	-0.06	--	pre_di_cuv1
6/20/2023 4:11:00 PM	0.00	0.11	0.00	0.00	0.15	0.11	100.00	-0.06	--	pre_di_cuv1
6/20/2023 4:14:40 PM	0.00	0.08	0.00	0.09	0.13	0.17	100.00	-0.06	--	pre_di_cuv2
6/20/2023 4:14:41 PM	0.00	0.12	0.00	0.00	0.15	0.12	100.00	-0.06	--	pre_di_cuv2
6/20/2023 4:14:42 PM	0.00	0.00	0.00	0.00	0.16	0.00	100.00	-0.06	--	pre_di_cuv2
6/20/2023 4:14:43 PM	0.00	0.00	0.00	0.00	0.12	0.00	100.00	-0.05	--	pre_di_cuv2
6/20/2023 4:14:44 PM	0.00	0.22	0.00	0.00	0.13	0.22	100.00	-0.05	--	pre_di_cuv2
6/20/2023 4:14:44 PM	0.00	0.20	0.00	0.00	0.12	0.20	100.00	-0.05	--	pre_di_cuv2
6/20/2023 4:14:45 PM	0.00	0.17	0.00	0.00	0.13	0.17	100.00	-0.04	--	pre_di_cuv2
6/20/2023 4:14:46 PM	0.00	0.23	0.00	0.00	0.11	0.23	100.00	-0.06	--	pre_di_cuv2
6/20/2023 4:14:47 PM	0.00	0.00	0.00	0.14	0.13	0.14	100.00	-0.05	--	pre_di_cuv2
6/20/2023 4:14:47 PM	0.00	0.09	0.00	0.00	0.15	0.09	100.00	-0.06	--	pre_di_cuv2
6/20/2023 4:14:48 PM	0.00	0.19	0.09	0.00	0.12	0.27	100.00	-0.07	--	pre_di_cuv2
6/20/2023 4:14:49 PM	0.00	0.04	0.00	0.11	0.12	0.14	100.00	-0.06	--	pre_di_cuv2
6/20/2023 4:14:49 PM	0.00	0.20	0.00	0.00	0.10	0.20	100.00	-0.06	--	pre_di_cuv2
6/20/2023 4:14:50 PM	0.00	0.15	0.00	0.00	0.14	0.15	100.00	-0.06	--	pre_di_cuv2
6/20/2023 4:14:51 PM	0.00	0.13	0.00	0.00	0.14	0.13	100.00	-0.04	--	pre_di_cuv2
6/20/2023 4:14:52 PM	0.00	0.20	0.00	0.00	0.15	0.20	100.00	-0.06	--	pre_di_cuv2
6/20/2023 4:14:52 PM	0.00	0.00	0.00	0.00	0.15	0.00	100.00	-0.06	--	pre_di_cuv2
6/20/2023 4:14:53 PM	0.00	0.19	0.00	0.00	0.14	0.19	100.00	-0.05	--	pre_di_cuv2
6/20/2023 4:14:54 PM	0.00	0.09	0.00	0.00	0.12	0.09	100.00	-0.04	--	pre_di_cuv2
6/20/2023 4:14:54 PM	0.00	0.08	0.00	0.00	0.12	0.08	100.00	-0.04	--	pre_di_cuv2
6/20/2023 4:17:50 PM	48.87	22.93	64.09	0.00	1.83	135.90	65.83	-0.06	--	Muddy_Creek_A
6/20/2023 4:17:50 PM	48.59	24.05	70.09	0.00	2.30	142.73	63.25	-0.06	--	Muddy_Creek_A
6/20/2023 4:17:51 PM	51.15	23.81	69.20	0.00	1.74	144.15	63.58	-0.05	--	Muddy_Creek_A
6/20/2023 4:17:52 PM	53.03	23.94	70.71	0.00	1.46	147.67	62.33	-0.06	--	Muddy_Creek_A
6/20/2023 4:17:53 PM	52.88	23.71	69.82	0.00	1.42	146.42	63.37	-0.04	--	Muddy_Creek_A
6/20/2023 4:17:53 PM	55.87	23.90	69.10	0.00	1.10	148.86	64.74	-0.06	--	Muddy_Creek_A
6/20/2023 4:17:54 PM	51.64	23.09	69.81	0.00	1.58	144.54	63.61	-0.05	--	Muddy_Creek_A
6/20/2023 4:17:55 PM	53.85	24.11	69.99	0.00	1.32	147.95	63.59	-0.06	--	Muddy_Creek_A
6/20/2023 4:17:56 PM	54.64	23.96	70.07	0.00	1.45	148.67	63.80	-0.05	--	Muddy_Creek_A
6/20/2023 4:17:56 PM	54.56	23.70	70.29	0.00	1.28	148.55	63.26	-0.06	--	Muddy_Creek_A
6/20/2023 4:17:57 PM	51.18	24.43	69.77	0.00	1.75	145.38	63.61	-0.07	--	Muddy_Creek_A
6/20/2023 4:17:58 PM	50.75	24.04	70.97	0.00	1.67	145.75	63.19	-0.06	--	Muddy_Creek_A
6/20/2023 4:17:59 PM	52.69	24.44	69.03	0.00	1.58	146.15	62.68	-0.06	--	Muddy_Creek_A
6/20/2023 4:17:59 PM	48.96	23.91	70.34	0.00	1.88	143.21	63.31	-0.06	--	Muddy_Creek_A
6/20/2023 4:18:00 PM	50.06	23.25	71.08	0.00	1.58	144.39	62.24	-0.05	--	Muddy_Creek_A
