date,site,rep,AlgalClass,Concentration
5/30/2023,Bells,A,GreenAlgae_avg,5.4
5/30/2023,Bells,A,Bluegreen_avg,0.347
5/30/2023,Bells,A,Diatom_avg,10.809
5/30/2023,Bells,A,Cryptophyta_avg,1.265
5/30/2023,Bells,A,YellowSubstances_avg,1.284
5/30/2023,Bells,A,Total_avg,17.822
5/30/2023,Bells,B,GreenAlgae_avg,5.3975
5/30/2023,Bells,B,Bluegreen_avg,0.285
5/30/2023,Bells,B,Diatom_avg,11.333
5/30/2023,Bells,B,Cryptophyta_avg,1.9835
5/30/2023,Bells,B,YellowSubstances_avg,1.198
5/30/2023,Bells,B,Total_avg,19.0005
5/30/2023,Bells,C,GreenAlgae_avg,4.105
5/30/2023,Bells,C,Bluegreen_avg,0.308
5/30/2023,Bells,C,Diatom_avg,9.228
5/30/2023,Bells,C,Cryptophyta_avg,0.878
5/30/2023,Bells,C,YellowSubstances_avg,1.279
5/30/2023,Bells,C,Total_avg,14.519
5/30/2023,Bridge,A,GreenAlgae_avg,20.4715
5/30/2023,Bridge,A,Bluegreen_avg,8.042
5/30/2023,Bridge,A,Diatom_avg,10.4245
5/30/2023,Bridge,A,Cryptophyta_avg,3.5545
5/30/2023,Bridge,A,YellowSubstances_avg,3.001
5/30/2023,Bridge,A,Total_avg,42.493
5/30/2023,Bridge,B,GreenAlgae_avg,25.8955
5/30/2023,Bridge,B,Bluegreen_avg,8.8405
5/30/2023,Bridge,B,Diatom_avg,10.7555
5/30/2023,Bridge,B,Cryptophyta_avg,4.882
5/30/2023,Bridge,B,YellowSubstances_avg,2.724
5/30/2023,Bridge,B,Total_avg,50.373
5/30/2023,Bridge,C,GreenAlgae_avg,24.618
5/30/2023,Bridge,C,Bluegreen_avg,9.052
5/30/2023,Bridge,C,Diatom_avg,10.7765
5/30/2023,Bridge,C,Cryptophyta_avg,3.4125
5/30/2023,Bridge,C,YellowSubstances_avg,2.6485
5/30/2023,Bridge,C,Total_avg,47.86
5/30/2023,Buoy_2,A,GreenAlgae_avg,17.417
5/30/2023,Buoy_2,A,Bluegreen_avg,9.2995
5/30/2023,Buoy_2,A,Diatom_avg,6.3015
5/30/2023,Buoy_2,A,Cryptophyta_avg,1.4195
5/30/2023,Buoy_2,A,YellowSubstances_avg,2.52
5/30/2023,Buoy_2,A,Total_avg,34.4375
5/30/2023,Buoy_2,B,GreenAlgae_avg,20.156
5/30/2023,Buoy_2,B,Bluegreen_avg,10.5295
5/30/2023,Buoy_2,B,Diatom_avg,7.4145
5/30/2023,Buoy_2,B,Cryptophyta_avg,2.182
5/30/2023,Buoy_2,B,YellowSubstances_avg,2.719
5/30/2023,Buoy_2,B,Total_avg,40.2805
5/30/2023,Buoy_2,C,GreenAlgae_avg,21.242
5/30/2023,Buoy_2,C,Bluegreen_avg,10.8085
5/30/2023,Buoy_2,C,Diatom_avg,5.8865
5/30/2023,Buoy_2,C,Cryptophyta_avg,3.9335
5/30/2023,Buoy_2,C,YellowSubstances_avg,2.82
5/30/2023,Buoy_2,C,Total_avg,41.8685
5/30/2023,Causeway,A,GreenAlgae_avg,13.3225
5/30/2023,Causeway,A,Bluegreen_avg,1.36
5/30/2023,Causeway,A,Diatom_avg,11.7485
5/30/2023,Causeway,A,Cryptophyta_avg,0.7825
5/30/2023,Causeway,A,YellowSubstances_avg,1.6035
5/30/2023,Causeway,A,Total_avg,27.2135
5/30/2023,Causeway,B,GreenAlgae_avg,14.191
5/30/2023,Causeway,B,Bluegreen_avg,1.8565
5/30/2023,Causeway,B,Diatom_avg,23.2215
5/30/2023,Causeway,B,Cryptophyta_avg,0.255
5/30/2023,Causeway,B,YellowSubstances_avg,1.808
5/30/2023,Causeway,B,Total_avg,39.525
5/30/2023,Causeway,C,GreenAlgae_avg,15.824
5/30/2023,Causeway,C,Bluegreen_avg,1.738
5/30/2023,Causeway,C,Diatom_avg,14.938
5/30/2023,Causeway,C,Cryptophyta_avg,0.8225
5/30/2023,Causeway,C,YellowSubstances_avg,1.4115
5/30/2023,Causeway,C,Total_avg,33.323
5/30/2023,EC_1163,A,GreenAlgae_avg,9.364
5/30/2023,EC_1163,A,Bluegreen_avg,2.257
5/30/2023,EC_1163,A,Diatom_avg,12.3795
5/30/2023,EC_1163,A,Cryptophyta_avg,4.794
5/30/2023,EC_1163,A,YellowSubstances_avg,1.986
5/30/2023,EC_1163,A,Total_avg,28.794
5/30/2023,EC_1163,B,GreenAlgae_avg,10.116
5/30/2023,EC_1163,B,Bluegreen_avg,1.6745
5/30/2023,EC_1163,B,Diatom_avg,9.2455
5/30/2023,EC_1163,B,Cryptophyta_avg,2.167
5/30/2023,EC_1163,B,YellowSubstances_avg,1.6765
5/30/2023,EC_1163,B,Total_avg,23.2025
5/30/2023,EC_1163,C,GreenAlgae_avg,9.2695
5/30/2023,EC_1163,C,Bluegreen_avg,1.4925
5/30/2023,EC_1163,C,Diatom_avg,13.5865
5/30/2023,EC_1163,C,Cryptophyta_avg,1.019
5/30/2023,EC_1163,C,YellowSubstances_avg,1.7965
5/30/2023,EC_1163,C,Total_avg,25.3685
5/30/2023,Muddy_Creek,A,GreenAlgae_avg,50.6385
5/30/2023,Muddy_Creek,A,Bluegreen_avg,18.645
5/30/2023,Muddy_Creek,A,Diatom_avg,47.481
5/30/2023,Muddy_Creek,A,Cryptophyta_avg,0
5/30/2023,Muddy_Creek,A,YellowSubstances_avg,2.091
5/30/2023,Muddy_Creek,A,Total_avg,116.764
5/30/2023,Muddy_Creek,B,GreenAlgae_avg,50.4335
5/30/2023,Muddy_Creek,B,Bluegreen_avg,19.995
5/30/2023,Muddy_Creek,B,Diatom_avg,48.9035
5/30/2023,Muddy_Creek,B,Cryptophyta_avg,0
5/30/2023,Muddy_Creek,B,YellowSubstances_avg,1.7695
5/30/2023,Muddy_Creek,B,Total_avg,119.3315
5/30/2023,Muddy_Creek,C,GreenAlgae_avg,54.2345
5/30/2023,Muddy_Creek,C,Bluegreen_avg,20.045
5/30/2023,Muddy_Creek,C,Diatom_avg,49.794
5/30/2023,Muddy_Creek,C,Cryptophyta_avg,0.082
5/30/2023,Muddy_Creek,C,YellowSubstances_avg,2.0065
5/30/2023,Muddy_Creek,C,Total_avg,124.1545
5/30/2023,ODNR_1,A,GreenAlgae_avg,23.0775
5/30/2023,ODNR_1,A,Bluegreen_avg,10.125
5/30/2023,ODNR_1,A,Diatom_avg,10.973
5/30/2023,ODNR_1,A,Cryptophyta_avg,2.8205
5/30/2023,ODNR_1,A,YellowSubstances_avg,2.5025
5/30/2023,ODNR_1,A,Total_avg,46.9955
5/30/2023,ODNR_1,B,GreenAlgae_avg,19.795
5/30/2023,ODNR_1,B,Bluegreen_avg,9.882
5/30/2023,ODNR_1,B,Diatom_avg,7.9105
5/30/2023,ODNR_1,B,Cryptophyta_avg,3.0425
5/30/2023,ODNR_1,B,YellowSubstances_avg,2.8185
5/30/2023,ODNR_1,B,Total_avg,40.63
5/30/2023,ODNR_1,C,GreenAlgae_avg,21.4845
5/30/2023,ODNR_1,C,Bluegreen_avg,9.5885
5/30/2023,ODNR_1,C,Diatom_avg,8.641
5/30/2023,ODNR_1,C,Cryptophyta_avg,4.0575
5/30/2023,ODNR_1,C,YellowSubstances_avg,2.489
5/30/2023,ODNR_1,C,Total_avg,43.773
5/30/2023,ODNR_2,A,GreenAlgae_avg,19.2285
5/30/2023,ODNR_2,A,Bluegreen_avg,7.9445
5/30/2023,ODNR_2,A,Diatom_avg,9.9055
5/30/2023,ODNR_2,A,Cryptophyta_avg,2.704
5/30/2023,ODNR_2,A,YellowSubstances_avg,2.4115
5/30/2023,ODNR_2,A,Total_avg,39.782
5/30/2023,ODNR_2,B,GreenAlgae_avg,15.0655
5/30/2023,ODNR_2,B,Bluegreen_avg,8.393
5/30/2023,ODNR_2,B,Diatom_avg,6.706
5/30/2023,ODNR_2,B,Cryptophyta_avg,1.6095
5/30/2023,ODNR_2,B,YellowSubstances_avg,2.8385
5/30/2023,ODNR_2,B,Total_avg,31.774
5/30/2023,ODNR_2,C,GreenAlgae_avg,15.9735
5/30/2023,ODNR_2,C,Bluegreen_avg,7.4645
5/30/2023,ODNR_2,C,Diatom_avg,4.414
5/30/2023,ODNR_2,C,Cryptophyta_avg,2.804
5/30/2023,ODNR_2,C,YellowSubstances_avg,2.4225
5/30/2023,ODNR_2,C,Total_avg,30.6565
5/30/2023,ODNR_4,A,GreenAlgae_avg,35.801
5/30/2023,ODNR_4,A,Bluegreen_avg,19.2895
5/30/2023,ODNR_4,A,Diatom_avg,22.315
5/30/2023,ODNR_4,A,Cryptophyta_avg,0.734
5/30/2023,ODNR_4,A,YellowSubstances_avg,3.388
5/30/2023,ODNR_4,A,Total_avg,78.1385
5/30/2023,ODNR_4,B,GreenAlgae_avg,35.3275
5/30/2023,ODNR_4,B,Bluegreen_avg,17.498
5/30/2023,ODNR_4,B,Diatom_avg,28.313
5/30/2023,ODNR_4,B,Cryptophyta_avg,1.7955
5/30/2023,ODNR_4,B,YellowSubstances_avg,2.794
5/30/2023,ODNR_4,B,Total_avg,82.9315
5/30/2023,ODNR_4,C,GreenAlgae_avg,35.9915
5/30/2023,ODNR_4,C,Bluegreen_avg,17.6815
5/30/2023,ODNR_4,C,Diatom_avg,29.984
5/30/2023,ODNR_4,C,Cryptophyta_avg,2.21
5/30/2023,ODNR_4,C,YellowSubstances_avg,2.854
5/30/2023,ODNR_4,C,Total_avg,85.8665
5/30/2023,ODNR_6,A,GreenAlgae_avg,30.873
5/30/2023,ODNR_6,A,Bluegreen_avg,2.437
5/30/2023,ODNR_6,A,Diatom_avg,38.7675
5/30/2023,ODNR_6,A,Cryptophyta_avg,9.4145
5/30/2023,ODNR_6,A,YellowSubstances_avg,2.3555
5/30/2023,ODNR_6,A,Total_avg,81.4895
5/30/2023,ODNR_6,B,GreenAlgae_avg,43.878
5/30/2023,ODNR_6,B,Bluegreen_avg,2.6125
5/30/2023,ODNR_6,B,Diatom_avg,38.356
5/30/2023,ODNR_6,B,Cryptophyta_avg,26.698
5/30/2023,ODNR_6,B,YellowSubstances_avg,3.2955
5/30/2023,ODNR_6,B,Total_avg,111.5455
5/30/2023,ODNR_6,C,GreenAlgae_avg,28.7585
5/30/2023,ODNR_6,C,Bluegreen_avg,4.3755
5/30/2023,ODNR_6,C,Diatom_avg,24.99
5/30/2023,ODNR_6,C,Cryptophyta_avg,6.504
5/30/2023,ODNR_6,C,YellowSubstances_avg,2.9695
5/30/2023,ODNR_6,C,Total_avg,64.627
6/6/2023,Bells,A,GreenAlgae_avg,0.0775
6/6/2023,Bells,A,Bluegreen_avg,0.841
6/6/2023,Bells,A,Diatom_avg,1.2175
6/6/2023,Bells,A,Cryptophyta_avg,0.474
6/6/2023,Bells,A,YellowSubstances_avg,1.482
6/6/2023,Bells,A,Total_avg,2.6105
6/6/2023,Bells,B,GreenAlgae_avg,0.0515
6/6/2023,Bells,B,Bluegreen_avg,0.9365
6/6/2023,Bells,B,Diatom_avg,1.214
6/6/2023,Bells,B,Cryptophyta_avg,0.455
6/6/2023,Bells,B,YellowSubstances_avg,1.4715
6/6/2023,Bells,B,Total_avg,2.6555
6/6/2023,Bells,C,GreenAlgae_avg,0.174
6/6/2023,Bells,C,Bluegreen_avg,0.8865
6/6/2023,Bells,C,Diatom_avg,1.466
6/6/2023,Bells,C,Cryptophyta_avg,0.4115
6/6/2023,Bells,C,YellowSubstances_avg,1.418
6/6/2023,Bells,C,Total_avg,2.938
6/6/2023,Bridge,A,GreenAlgae_avg,32.5335
6/6/2023,Bridge,A,Bluegreen_avg,60.583
6/6/2023,Bridge,A,Diatom_avg,17.8425
6/6/2023,Bridge,A,Cryptophyta_avg,0
6/6/2023,Bridge,A,YellowSubstances_avg,3.8935
6/6/2023,Bridge,A,Total_avg,110.9585
6/6/2023,Bridge,B,GreenAlgae_avg,32.8865
6/6/2023,Bridge,B,Bluegreen_avg,60.4835
6/6/2023,Bridge,B,Diatom_avg,17.2555
6/6/2023,Bridge,B,Cryptophyta_avg,0.0055
6/6/2023,Bridge,B,YellowSubstances_avg,3.9735
6/6/2023,Bridge,B,Total_avg,110.6325
6/6/2023,Bridge,C,GreenAlgae_avg,31.6875
6/6/2023,Bridge,C,Bluegreen_avg,57.438
6/6/2023,Bridge,C,Diatom_avg,15.313
6/6/2023,Bridge,C,Cryptophyta_avg,0
6/6/2023,Bridge,C,YellowSubstances_avg,3.6095
6/6/2023,Bridge,C,Total_avg,104.4385
6/6/2023,Buoy_2,A,GreenAlgae_avg,24.312
6/6/2023,Buoy_2,A,Bluegreen_avg,43.374
6/6/2023,Buoy_2,A,Diatom_avg,13.4305
6/6/2023,Buoy_2,A,Cryptophyta_avg,0.0715
6/6/2023,Buoy_2,A,YellowSubstances_avg,3.2355
6/6/2023,Buoy_2,A,Total_avg,81.1875
6/6/2023,Buoy_2,B,GreenAlgae_avg,24.886
6/6/2023,Buoy_2,B,Bluegreen_avg,42.9815
6/6/2023,Buoy_2,B,Diatom_avg,13.827
6/6/2023,Buoy_2,B,Cryptophyta_avg,0.0065
6/6/2023,Buoy_2,B,YellowSubstances_avg,3.0015
6/6/2023,Buoy_2,B,Total_avg,81.6995
6/6/2023,Buoy_2,C,GreenAlgae_avg,24.9345
6/6/2023,Buoy_2,C,Bluegreen_avg,41.7875
6/6/2023,Buoy_2,C,Diatom_avg,15.0285
6/6/2023,Buoy_2,C,Cryptophyta_avg,0
6/6/2023,Buoy_2,C,YellowSubstances_avg,3.2845
6/6/2023,Buoy_2,C,Total_avg,81.753
6/6/2023,Causeway,A,GreenAlgae_avg,14.176
6/6/2023,Causeway,A,Bluegreen_avg,9.3505
6/6/2023,Causeway,A,Diatom_avg,9.6515
6/6/2023,Causeway,A,Cryptophyta_avg,0.0605
6/6/2023,Causeway,A,YellowSubstances_avg,2.068
6/6/2023,Causeway,A,Total_avg,33.236
6/6/2023,Causeway,B,GreenAlgae_avg,15.117
6/6/2023,Causeway,B,Bluegreen_avg,9.7015
6/6/2023,Causeway,B,Diatom_avg,10.6895
6/6/2023,Causeway,B,Cryptophyta_avg,0.128
6/6/2023,Causeway,B,YellowSubstances_avg,2.1595
6/6/2023,Causeway,B,Total_avg,35.637
6/6/2023,Causeway,C,GreenAlgae_avg,14.3795
6/6/2023,Causeway,C,Bluegreen_avg,9.4455
6/6/2023,Causeway,C,Diatom_avg,10.5405
6/6/2023,Causeway,C,Cryptophyta_avg,0.042
6/6/2023,Causeway,C,YellowSubstances_avg,2.1995
6/6/2023,Causeway,C,Total_avg,34.408
6/6/2023,EC_1163,A,GreenAlgae_avg,14.6495
6/6/2023,EC_1163,A,Bluegreen_avg,21.67
6/6/2023,EC_1163,A,Diatom_avg,10.229
6/6/2023,EC_1163,A,Cryptophyta_avg,0
6/6/2023,EC_1163,A,YellowSubstances_avg,2.392
6/6/2023,EC_1163,A,Total_avg,46.551
6/6/2023,EC_1163,B,GreenAlgae_avg,14.045
6/6/2023,EC_1163,B,Bluegreen_avg,21.825
6/6/2023,EC_1163,B,Diatom_avg,10.17
6/6/2023,EC_1163,B,Cryptophyta_avg,0
6/6/2023,EC_1163,B,YellowSubstances_avg,2.4665
6/6/2023,EC_1163,B,Total_avg,46.0405
6/6/2023,EC_1163,C,GreenAlgae_avg,10.8185
6/6/2023,EC_1163,C,Bluegreen_avg,15.3585
6/6/2023,EC_1163,C,Diatom_avg,8.9695
6/6/2023,EC_1163,C,Cryptophyta_avg,0.125
6/6/2023,EC_1163,C,YellowSubstances_avg,2.17
6/6/2023,EC_1163,C,Total_avg,35.2705
6/6/2023,Muddy_Creek,A,GreenAlgae_avg,38.5445
6/6/2023,Muddy_Creek,A,Bluegreen_avg,58.445
6/6/2023,Muddy_Creek,A,Diatom_avg,32.0605
6/6/2023,Muddy_Creek,A,Cryptophyta_avg,0.0335
6/6/2023,Muddy_Creek,A,YellowSubstances_avg,2.175
6/6/2023,Muddy_Creek,A,Total_avg,129.0835
6/6/2023,Muddy_Creek,B,GreenAlgae_avg,37.674
6/6/2023,Muddy_Creek,B,Bluegreen_avg,59.862
6/6/2023,Muddy_Creek,B,Diatom_avg,30.529
6/6/2023,Muddy_Creek,B,Cryptophyta_avg,0
6/6/2023,Muddy_Creek,B,YellowSubstances_avg,2.429
6/6/2023,Muddy_Creek,B,Total_avg,128.066
6/6/2023,Muddy_Creek,C,GreenAlgae_avg,38.7315
6/6/2023,Muddy_Creek,C,Bluegreen_avg,60.83
6/6/2023,Muddy_Creek,C,Diatom_avg,30.9615
6/6/2023,Muddy_Creek,C,Cryptophyta_avg,0
6/6/2023,Muddy_Creek,C,YellowSubstances_avg,2.129
6/6/2023,Muddy_Creek,C,Total_avg,130.5235
6/6/2023,ODNR_1,A,GreenAlgae_avg,22.272
6/6/2023,ODNR_1,A,Bluegreen_avg,39.004
6/6/2023,ODNR_1,A,Diatom_avg,12.2325
6/6/2023,ODNR_1,A,Cryptophyta_avg,0
6/6/2023,ODNR_1,A,YellowSubstances_avg,2.928
6/6/2023,ODNR_1,A,Total_avg,73.5095
6/6/2023,ODNR_1,B,GreenAlgae_avg,22.4425
6/6/2023,ODNR_1,B,Bluegreen_avg,39.124
6/6/2023,ODNR_1,B,Diatom_avg,13.209
6/6/2023,ODNR_1,B,Cryptophyta_avg,0
6/6/2023,ODNR_1,B,YellowSubstances_avg,3.1735
