Date,Site,Nitrate_NO2 ,Ammonium ,Nitrite ,DRP ,Silicate ,Nitrate ,TP ,TKN ,TN ,TN_TP,location
5/30/2023,Muddy Creek,109.85,3.73,3.38,0.03,1.95,106.52,4.433,96.029,205.879,46.44236409,Inner Bay
5/30/2023,ODNR 4,27.61,0.96,0.59,0,6,27.03,2.5115,64.679,92.2885,36.74636671,Inner Bay
5/30/2023,ODNR 6,67.09,2.93,1.2,0,12.17,65.94,2.3935,66.207,133.2965,55.69103823,Inner Bay
5/30/2023,Bridge,50.85,1.61,0.94,0.01,3.35,49.94,2.0705,53.298,104.1475,50.30065202,Inner Bay
5/30/2023,ODNR 2,32.34,1.81,0.57,0,3.68,31.8,1.59,47.984,80.3235,50.51792453,Outer Bay
5/30/2023,Buoy 2,34.84,2.53,0.63,0,6.96,34.24,1.874,52.498,87.3375,46.60485592,Outer Bay
5/30/2023,ODNR 1,40.34,1.07,0.7,0,7.62,39.68,1.838,55.263,95.6025,52.01441785,Outer Bay
5/30/2023,EC 1163,33.16,1.17,0.45,0,4.17,32.73,1.048,32.998,66.1575,63.1273855,Outer Bay
5/30/2023,Causeway,24.16,0.69,0.46,0.01,8.89,23.72,1.284,37.201,61.361,47.78894081,Outer Bay
5/30/2023,Bells,40.34,0.97,0.36,0,17.59,40.02,0.671,21.138,61.4775,91.62071535,Lake Erie
6/6/2023,Muddy Creek,0.32,1.51,0.15,0.35,15.1,0.17,8.85,151.4,151.72,17.15,Inner Bay
6/6/2023,ODNR 4,0.32,0.62,0.07,0.07,16.98,0.26,5.18,93.51,93.83,18.1,Inner Bay
6/6/2023,ODNR 6,13.39,1.05,0.34,0.02,17.72,13.06,3.78,73.15,86.54,22.88,Inner Bay
6/6/2023,Bridge,4.06,0.71,0.26,0,13.14,3.8,3.89,83.87,87.93,22.61,Inner Bay
6/6/2023,ODNR 2,5.01,1.02,0.23,0,18.12,4.78,3.27,71.69,76.7,23.45,Outer Bay
6/6/2023,Buoy 2,6.68,0.67,0.22,0,11.28,6.46,3.06,67.06,73.73,24.1,Outer Bay
