Date,Time,Site,Unit ID,User ID,°C-19D104366,mmHg-19G101790,DO %-17C105036,DO %L-17C105036,DO mg/L-17C105036,SPC-uS/cm-19D104366,C-uS/cm-19D104366,nLFC-uS/cm-19D104366,TDS mg/L-19D104366,SAL-PSU-19D104366,pH-17C104424,pH mV-17C104424,FNU-15D102653,TSS mg/L-15D102653,Phycocyanin RFU-15B101563,Chlorophyll RFU-15B101563,Wiper V-15D102606,Cable V-19G101790,Batt V-19G101790,ALT m-19G101790,Lat-19G101790,Lon-19G101790
6/6/2023,9:22:15 AM,A1_MuddyCreek,,,21.445,742.8,104.1,107,9.19,561.6,523.5,565.3,365,0.27,8.46,-115.3,67.68,0,4.87,11.06,1.208,12.2,0,99.9,89.99999,180
6/6/2023,9:52:54 AM,A2_ODNR4,,,21.058,742.9,98.1,100.8,8.72,495.1,457.9,498.7,322,0.24,8.47,-115.7,46.93,0,5.22,9.22,1.208,12.2,0,99.9,89.99999,180
6/6/2023,10:20:19 AM,A3_ODNR6,,,21.199,742.8,102.9,105.8,9.13,482,447.1,485.4,313,0.23,8.55,-120.3,26.16,0,3.36,6.93,1.208,12.2,0,99.9,89.99999,180
6/6/2023,10:45:25 AM,A4_Bridge,,,21.586,742.7,101.1,103.8,8.9,479.4,448.1,482.4,312,0.23,8.51,-118.2,23.45,0,4.47,7.46,1.208,12.2,0,99.9,89.99999,180
6/6/2023,11:18:40 AM,A5_ODNR2,,,21.516,742.6,113.4,116.6,10,446.1,416.4,448.9,290,0.21,8.74,-131,21.81,0,3.93,6.01,1.208,12.2,0,99.9,89.99999,180
6/6/2023,11:39:00 AM,A6_Buoy2,,,21.168,742.4,111.5,114.6,9.89,407.2,377.4,410,265,0.2,8.73,-130.8,19.05,0,3.22,5.62,1.208,12.2,0,99.9,89.99999,180
6/6/2023,12:01:20 PM,A7_ODNR1,,,21.396,742.3,114.7,117.9,10.14,398.6,371.2,401.2,259,0.19,8.8,-134.5,18.32,0,3.08,5.52,1.208,12.2,0,99.9,89.99999,180
6/6/2023,12:19:43 PM,A8.1_EC1163,,,20.647,742.3,99.9,102.7,8.96,347.4,318.5,350.1,226,0.17,8.58,-121.9,16.56,0,1.62,3.49,1.208,12.2,0,99.9,89.99999,180
6/6/2023,1:16:07 PM,A8_Causeway,,,21.125,742.1,93.2,95.8,8.29,364.9,337.9,367.5,237,0.17,8.4,-111.7,7.86,0,0.92,3.1,1.208,12.2,0,99.9,89.99999,180
6/6/2023,12:44:10 PM,A9_Bells,,,20.906,742.3,89.7,92.2,8.01,292.4,269.5,294.6,190,0.14,8.24,-102.3,10.46,0,0.16,0.44,1.208,12.2,0,99.9,89.99999,180
