sample,date,type,analytical_rep,sample_conc,df,final_conc
B1-1,04/24/2023,Dissolved,1,0.188977014,1,0.188977014
B1-1,04/24/2023,Dissolved,2,0.365760775,1,0.365760775
B1-2,04/24/2023,Dissolved,1,0.068986915,1,0.068986915
B1-2,04/24/2023,Dissolved,2,0.016928355,1,0.016928355
B2-1,04/24/2023,Dissolved,1,0.157294541,1,0.157294541
B2-1,04/24/2023,Dissolved,2,0.212892736,1,0.212892736
B2-2,04/24/2023,Dissolved,1,0.0935081,1,0.0935081
B2-2,04/24/2023,Dissolved,2,0.092694596,1,0.092694596
B3-1,04/24/2023,Dissolved,1,0.085893286,1,0.085893286
B3-1,04/24/2023,Dissolved,2,0.402402634,1,0.402402634
B3-2,04/24/2023,Dissolved,1,Invalid,1,Error
B3-2,04/24/2023,Dissolved,2,0.189224947,1,0.189224947
B4-1,04/24/2023,Dissolved,1,0.146317244,1,0.146317244
B4-1,04/24/2023,Dissolved,2,0.081291759,1,0.081291759
B4-2,04/24/2023,Dissolved,1,0.121216886,1,0.121216886
B4-2,04/24/2023,Dissolved,2,0.132212054,1,0.132212054
B5-1,04/24/2023,Dissolved,1,0.394390687,1,0.394390687
B5-1,04/24/2023,Dissolved,2,0.21028799,1,0.21028799
B5-2,04/24/2023,Dissolved,1,0.478619845,1,0.478619845
B5-2,04/24/2023,Dissolved,2,0.307443986,1,0.307443986
S1-1,05/12/2023,Dissolved,1,0.087233738,1,0.087233738
S1-1,05/12/2023,Dissolved,2,0.158530285,1,0.158530285
S1-2,05/12/2023,Dissolved,1,0.144737565,1,0.144737565
S1-2,05/12/2023,Dissolved,2,0.045642292,1,0.045642292
S2-1,05/12/2023,Dissolved,1,0.069965666,1,0.069965666
S2-1,05/12/2023,Dissolved,2,0.108642015,1,0.108642015
S2-2,05/12/2023,Dissolved,1,0.121861118,1,0.121861118
S2-2,05/12/2023,Dissolved,2,0.155293412,1,0.155293412
S3-1,05/12/2023,Dissolved,1,0.034973591,1,0.034973591
S3-1,05/12/2023,Dissolved,2,0.225159852,1,0.225159852
S3-2,05/12/2023,Dissolved,1,0.211241333,1,0.211241333
S3-2,05/12/2023,Dissolved,2,0.113972978,1,0.113972978
S4-1,05/12/2023,Dissolved,1,0.097935429,1,0.097935429
S4-1,05/12/2023,Dissolved,2,0.129585508,1,0.129585508
S4-2,05/12/2023,Dissolved,1,0.156600871,1,0.156600871
S4-2,05/12/2023,Dissolved,2,0.101641045,1,0.101641045
S5-1,05/12/2023,Dissolved,1,0.079699348,1,0.079699348
S5-1,05/12/2023,Dissolved,2,0.101641045,1,0.101641045
S5-2,05/12/2023,Dissolved,1,0.293120043,1,0.293120043
S5-2,05/12/2023,Dissolved,2,0.474250013,1,0.474250013
