sample,date,type,analytical_rep,sample_conc,df,final_conc
Muddy_Creek_T,5/30/2023,Total,1,0.40149154,1,0.40149154
Muddy_Creek_T,5/30/2023,Total,2,0.501980064,1,0.501980064
Muddy_Creek_D,5/30/2023,Dissolved,1,0.181600838,1,0.181600838
Muddy_Creek_D,5/30/2023,Dissolved,2,0.164680375,1,0.164680375
ODNR_4_T,5/30/2023,Total,1,0.248749188,1,0.248749188
ODNR_4_T,5/30/2023,Total,2,0.500085367,1,0.500085367
ODNR_4_D,5/30/2023,Dissolved,1,0.133164037,1,0.133164037
ODNR_4_D,5/30/2023,Dissolved,2,0.267006246,1,0.267006246
ODNR_6_T,5/30/2023,Total,1,0.105511248,1,0.105511248
ODNR_6_T,5/30/2023,Total,2,0.112564706,1,0.112564706
ODNR_6_D,5/30/2023,Dissolved,1,0.099099271,1,0.099099271
ODNR_6_D,5/30/2023,Dissolved,2,0.093304613,1,0.093304613
Bridge_T,5/30/2023,Total,1,0.272826439,1,0.272826439
Bridge_T,5/30/2023,Total,2,0.313038852,1,0.313038852
Bridge_D,5/30/2023,Dissolved,1,0.347377114,1,0.347377114
Bridge_D,5/30/2023,Dissolved,2,0.18429165,1,0.18429165
ODNR_2_T,5/30/2023,Total,1,0.223552546,1,0.223552546
ODNR_2_T,5/30/2023,Total,2,0.083088173,1,0.083088173
ODNR_2_D,5/30/2023,Dissolved,1,0.143987185,1,0.143987185
ODNR_2_D,5/30/2023,Dissolved,2,0.145113201,1,0.145113201
Buoy_2_T,5/30/2023,Total,1,0.185438002,1,0.185438002
Buoy_2_T,5/30/2023,Total,2,0.164445332,1,0.164445332
Buoy_2_D,5/30/2023,Dissolved,1,0.024344423,1,0.024344423
Buoy_2_D,5/30/2023,Dissolved,2,0.169327315,1,0.169327315
ODNR_1_T,5/30/2023,Total,1,0.167746841,1,0.167746841
ODNR_1_T,5/30/2023,Total,2,0.244716415,1,0.244716415
ODNR_1_D,5/30/2023,Dissolved,1,0.158839734,1,0.158839734
ODNR_1_D,5/30/2023,Dissolved,2,0.124950742,1,0.124950742
EC_1163_T,5/30/2023,Total,1,0.254722629,1,0.254722629
EC_1163_T,5/30/2023,Total,2,0.112635027,1,0.112635027
EC_1163_D,5/30/2023,Dissolved,1,0.210547795,1,0.210547795
EC_1163_D,5/30/2023,Dissolved,2,0.179653762,1,0.179653762
Muddy_Creek_T,6/6/2023,Total,1,0.391191703,1,0.391191703
Muddy_Creek_T,6/6/2023,Total,2,0.353752383,1,0.353752383
Muddy_Creek_D,6/6/2023,Dissolved,1,0.166567799,1,0.166567799
Muddy_Creek_D,6/6/2023,Dissolved,2,0.260319897,1,0.260319897
ODNR_4_T,6/6/2023,Total,1,0.204754775,1,0.204754775
ODNR_4_T,6/6/2023,Total,2,0.198460544,1,0.198460544
ODNR_4_D,6/6/2023,Dissolved,1,0.227028558,1,0.227028558
ODNR_4_D,6/6/2023,Dissolved,2,0.169854601,1,0.169854601
ODNR_6_T,6/6/2023,Total,1,0.331462324,1,0.331462324
ODNR_6_T,6/6/2023,Total,2,0.330770565,1,0.330770565
ODNR_6_D,6/6/2023,Dissolved,1,0.124159089,1,0.124159089
ODNR_6_D,6/6/2023,Dissolved,2,0.033427756,1,0.033427756
Bridge_T,6/6/2023,Total,1,0.188930696,1,0.188930696
Bridge_T,6/6/2023,Total,2,0.181838173,1,0.181838173
Bridge_D,6/6/2023,Dissolved,1,0.272666247,1,0.272666247
Bridge_D,6/6/2023,Dissolved,2,0.253305722,1,0.253305722
ODNR_2_T,6/6/2023,Total,1,0.206000946,1,0.206000946
ODNR_2_T,6/6/2023,Total,2,0.203797626,1,0.203797626
ODNR_2_D,6/6/2023,Dissolved,1,0.048207591,1,0.048207591
ODNR_2_D,6/6/2023,Dissolved,2,0.075584168,1,0.075584168
Buoy_2_T,6/6/2023,Total,1,0.22220374,1,0.22220374
Buoy_2_T,6/6/2023,Total,2,0.290102156,1,0.290102156
Buoy_2_D,6/6/2023,Dissolved,1,0.126160678,1,0.126160678
Buoy_2_D,6/6/2023,Dissolved,2,0.08504203,1,0.08504203
ODNR_1_T,6/6/2023,Total,1,0.170129108,1,0.170129108
ODNR_1_T,6/6/2023,Total,2,0.102882845,1,0.102882845
ODNR_1_D,6/6/2023,Dissolved,1,Invalid,1,
ODNR_1_D,6/6/2023,Dissolved,2,0.004151866,1,0.004151866
EC_1163_T,6/6/2023,Total,1,0.032643278,1,0.032643278
EC_1163_T,6/6/2023,Total,2,0.086141738,1,0.086141738
EC_1163_D,6/6/2023,Dissolved,1,0.096745364,1,0.096745364
EC_1163_D,6/6/2023,Dissolved,2,0.056263779,1,0.056263779
Causeway_T,6/6/2023,Total,1,Invalid,1,
Causeway_T,6/6/2023,Total,2,Invalid,1,
Bells_T,6/6/2023,Total,1,0.026483784,1,0.026483784
Bells_T,6/6/2023,Total,2,Invalid,1,
Bells_D,6/6/2023,Dissolved,1,Invalid,1,
Bells_D,6/6/2023,Dissolved,2,0.041460791,1,0.041460791
Muddy_Creek_T,6/13/2023,Total,1,1.021408817,1,1.021408817
Muddy_Creek_T,6/13/2023,Total,2,1.014014435,1,1.014014435
Muddy_Creek_D,6/13/2023,Dissolved,1,0.141700129,1,0.141700129
Muddy_Creek_D,6/13/2023,Dissolved,2,0.067490023,1,0.067490023
ODNR_4_T,6/13/2023,Total,1,0.502462963,1,0.502462963
ODNR_4_T,6/13/2023,Total,2,0.598971862,1,0.598971862
ODNR_4_D,6/13/2023,Dissolved,1,0.14622555,1,0.14622555
ODNR_4_D,6/13/2023,Dissolved,2,0.095809795,1,0.095809795
ODNR_6_T,6/13/2023,Total,1,0.276690745,1,0.276690745
ODNR_6_T,6/13/2023,Total,2,0.293034693,1,0.293034693
ODNR_6_D,6/13/2023,Dissolved,1,0.289235726,1,0.289235726
ODNR_6_D,6/13/2023,Dissolved,2,0.124680874,1,0.124680874
Bridge_T,6/13/2023,Total,1,0.333889209,1,0.333889209
Bridge_T,6/13/2023,Total,2,0.289019294,1,0.289019294
Bridge_D,6/13/2023,Dissolved,1,0.301138838,1,0.301138838
Bridge_D,6/13/2023,Dissolved,2,0.25742296,1,0.25742296
ODNR_2_T,6/13/2023,Total,1,0.29598019,1,0.29598019
ODNR_2_T,6/13/2023,Total,2,0.265837443,1,0.265837443
ODNR_2_D,6/13/2023,Dissolved,1,0.14970166,1,0.14970166
ODNR_2_D,6/13/2023,Dissolved,2,0.130175559,1,0.130175559
Buoy_2_T,6/13/2023,Total,1,0.089105066,1,0.089105066
Buoy_2_T,6/13/2023,Total,2,0.066478267,1,0.066478267
Buoy_2_D,6/13/2023,Dissolved,1,0.123290018,1,0.123290018
Buoy_2_D,6/13/2023,Dissolved,2,0.225153795,1,0.225153795
ODNR_1_T,6/13/2023,Total,1,0.197985892,1,0.197985892
ODNR_1_T,6/13/2023,Total,2,0.178871318,1,0.178871318
ODNR_1_D,6/13/2023,Dissolved,1,0.098192295,1,0.098192295
ODNR_1_D,6/13/2023,Dissolved,2,0.155076672,1,0.155076672
EC_1163_T,6/13/2023,Total,1,0.090545869,1,0.090545869
EC_1163_T,6/13/2023,Total,2,0.066899843,1,0.066899843
EC_1163_D,6/13/2023,Dissolved,1,0.024432711,1,0.024432711
EC_1163_D,6/13/2023,Dissolved,2,0.097085702,1,0.097085702
Causeway_T,6/13/2023,Total,3,0.087834588,1,0.087834588
Causeway_T,6/13/2023,Total,4,0.048292667,1,0.048292667
Causeway_D,6/13/2023,Dissolved,1,0.117139523,1,0.117139523
Causeway_D,6/13/2023,Dissolved,2,Invalid,1,
Bells_T,6/13/2023,Total,1,Invalid,1,
Bells_T,6/13/2023,Total,2,0.062682919,1,0.062682919
Bells_D,6/13/2023,Dissolved,1,0.123550665,1,0.123550665
Bells_D,6/13/2023,Dissolved,2,0.037502551,1,0.037502551
Causeway_D,5/30/2023,Dissolved,1,0.105875683,1,0.105875683
Causeway_D,5/30/2023,Dissolved,2,0.068670314,1,0.068670314
Muddy_Creek_T,6/20/2023,Total,1,0.155920718,1,0.155920718
Muddy_Creek_T,6/20/2023,Total,2,0.215389508,1,0.215389508
Muddy_Creek_D,6/20/2023,Dissolved,1,Invalid,1,
Muddy_Creek_D,6/20/2023,Dissolved,2,Invalid,1,
ODNR_4_T,6/20/2023,Total,1,0.57785171,1,0.57785171
ODNR_4_T,6/20/2023,Total,2,0.524528556,1,0.524528556
ODNR_4_D,6/20/2023,Dissolved,1,0.355925588,1,0.355925588
ODNR_4_D,6/20/2023,Dissolved,2,0.197389892,1,0.197389892
ODNR_6_T,6/20/2023,Total,1,0.205329638,1,0.205329638
ODNR_6_T,6/20/2023,Total,2,0.29729167,1,0.29729167
ODNR_6_D,6/20/2023,Dissolved,1,0.194130953,1,0.194130953
ODNR_6_D,6/20/2023,Dissolved,2,0.557716474,1,0.557716474
Bridge_T,6/20/2023,Total,1,0.012459699,1,0.012459699
Bridge_T,6/20/2023,Total,2,0.095430672,1,0.095430672
Bridge_D,6/20/2023,Dissolved,1,0.154413123,1,0.154413123
Bridge_D,6/20/2023,Dissolved,2,0.172686923,1,0.172686923
ODNR_2_T,6/20/2023,Total,1,0.157174672,1,0.157174672
ODNR_2_T,6/20/2023,Total,2,0.078460006,1,0.078460006
ODNR_2_D,6/20/2023,Dissolved,1,0.024223806,1,0.024223806
ODNR_2_D,6/20/2023,Dissolved,2,Invalid,1,
Buoy_2_T,6/20/2023,Total,1,0.8501354,1,0.8501354
Buoy_2_T,6/20/2023,Total,2,0.1153876,1,0.1153876
Buoy_2_D,6/20/2023,Dissolved,1,Invalid,1,
Buoy_2_D,6/20/2023,Dissolved,2,Invalid,1,
ODNR_1_T,6/20/2023,Total,1,1.39125119,1,1.39125119
ODNR_1_T,6/20/2023,Total,2,0.744479876,1,0.744479876
ODNR_1_D,6/20/2023,Dissolved,1,Invalid,1,
ODNR_1_D,6/20/2023,Dissolved,2,Invalid,1,
EC_1163_T,6/20/2023,Total,1,0.772606201,1,0.772606201
EC_1163_T,6/20/2023,Total,2,0.610804828,1,0.610804828
EC_1163_D,6/20/2023,Dissolved,1,Invalid,1,
EC_1163_D,6/20/2023,Dissolved,2,Invalid,1,
Causeway_T,6/20/2023,Total,1,0.214433274,1,0.214433274
Causeway_T,6/20/2023,Total,2,0.027884613,1,0.027884613
Causeway_D,6/20/2023,Dissolved,1,0.138371305,1,0.138371305
Causeway_D,6/20/2023,Dissolved,2,Invalid,1,
Muddy_Creek_T,6/27/2023,Total,1,Invalid,1,
Muddy_Creek_T,6/27/2023,Total,2,0.114572877,1,0.114572877
Muddy_Creek_D,6/27/2023,Dissolved,1,Invalid,1,
Muddy_Creek_D,6/27/2023,Dissolved,2,Invalid,1,
ODNR_4_T,6/27/2023,Total,1,0.403388874,1,0.403388874
ODNR_4_T,6/27/2023,Total,2,0.238972068,1,0.238972068
ODNR_4_D,6/27/2023,Dissolved,1,0.223742991,1,0.223742991
ODNR_4_D,6/27/2023,Dissolved,2,0.147715062,1,0.147715062
ODNR_6_T,6/27/2023,Total,1,0.038017186,1,0.038017186
ODNR_6_T,6/27/2023,Total,2,Invalid,1,
ODNR_6_D,6/27/2023,Dissolved,1,0.175389717,1,0.175389717
ODNR_6_D,6/27/2023,Dissolved,2,0.213237477,1,0.213237477
Bridge_T,6/27/2023,Total,1,2.430292133,1,2.430292133
Bridge_T,6/27/2023,Total,2,1.323299747,1,1.323299747
Bridge_D,6/27/2023,Dissolved,1,0.203167711,1,0.203167711
Bridge_D,6/27/2023,Dissolved,2,0.165152252,1,0.165152252
ODNR_2_T,6/27/2023,Total,1,0.253579921,1,0.253579921
ODNR_2_T,6/27/2023,Total,2,0.212998249,1,0.212998249
ODNR_2_D,6/27/2023,Dissolved,1,0.452538774,1,0.452538774
ODNR_2_D,6/27/2023,Dissolved,2,0.266171122,1,0.266171122
Buoy_2_T,6/27/2023,Total,1,0.439777746,1,0.439777746
Buoy_2_T,6/27/2023,Total,2,0.539793652,1,0.539793652
Buoy_2_D,6/27/2023,Dissolved,1,Invalid,1,
Buoy_2_D,6/27/2023,Dissolved,2,0.088277829,1,0.088277829
ODNR_1_T,6/27/2023,Total,1,0.141587929,1,0.141587929
ODNR_1_T,6/27/2023,Total,2,0.054947705,1,0.054947705
ODNR_1_D,6/27/2023,Dissolved,1,0.044024525,1,0.044024525
ODNR_1_D,6/27/2023,Dissolved,2,0.139531401,1,0.139531401
EC_1163_T,6/27/2023,Total,1,0.064880571,1,0.064880571
EC_1163_T,6/27/2023,Total,2,0.202446518,1,0.202446518
EC_1163_D,6/27/2023,Dissolved,1,0.059996086,1,0.059996086
EC_1163_D,6/27/2023,Dissolved,2,0.066859723,1,0.066859723
Causeway_T,6/27/2023,Total,1,0.464105947,1,0.464105947
Causeway_T,6/27/2023,Total,2,0.368943559,1,0.368943559
Causeway_D,6/27/2023,Dissolved,3,0.255836094,1,0.255836094
Causeway_D,6/27/2023,Dissolved,4,0.227316693,1,0.227316693
Bells_T,6/27/2023,Total,1,0.288203753,1,0.288203753
